,Lemma,Tag
1326,Copterline,ORG
1328,Tõnis Lepp,PER
1341,Nelonen Lepa,PER
1343,päästeamet,ORG
1344,Mati Raidma,PER
1359,AP,ORG
1360,Raidma,PER
1371,Raidma,PER
1372,Naissaar,LOC
1375,Viimsi poolsaar,LOC
1381,USA,LOC
1397,Eesti,LOC
1400,Copterline,ORG
1404,Eesti,LOC
1406,Liisa,PER
1409,Carolina,PER
1412,Ruta,PER
1415,Kristel,PER
1418,kanal,ORG
1421,Carolina Kremetski,PER
1422,Liisa Suster,PER
1424,Oliver Kruuda,PER
1425,Ruta Kruuda,PER
1427,Kristel Soll,PER
1428,Helsingi,LOC
1431,Tallinn,LOC
1439,lennuteenindus AS,ORG
1441,Tanel Rautits,PER
1447,piirivalveamet,ORG
1459,AS Eesti Loots,ORG
1475,EPL Online,ORG
1476,Tõnis Lepp,PER
1477,Eesti Päevaleht,ORG
1491,päästeamet,ORG
1492,Alo Tammsalu,PER
1493,Äripäev Online,ORG
1501,naissaar,LOC
1504,Äripäev Online,ORG
1518,naissaar,LOC
1522,Delfi,ORG
1529,Tõnis Lepp,PER
1544,Copterline,ORG
1546,Soome,LOC
1548,Eesti,LOC
1550,Lepp,PER
1554,Soome,LOC
1559,Eesti Raadio,ORG
1564,Soome lennuturvalisusamet,ORG
1566,Copterline,ORG
1578,YLE,ORG
1579,Copterline,PER
1590,Tallinn,LOC
1592,Tallinn,LOC
1596,Soome,LOC
1598,Copterline,ORG
1600,Tallinna-Helsink,LOC
1603,TV3 Seitsmene,ORG
1605,Edelaraudtee,ORG
1608,Edelaraudtee,ORG
1623,tee - ja sideministeerium,ORG
1624,Kuldar Väärs,PER
1637,Väärsi,PER
1638,Eesti Päevaleht,ORG
1639,Edelaraudtee,ORG
1641,Kalvi Puka,PER
1658,Puka,PER
1673,Tallinna-Tartu,LOC
1696,Toivo Jürgenson,PER
1698,edelaraudtee,ORG
1708,edelaraudtee,ORG
1712,Jürgenson,PER
1715,Jüri Kuusik,PER
1716,Edelaraudtee,ORG
1718,Henn Ruuben,PER
1737,Ruuben,PER
1750,London,LOC
1752,Tai,LOC
1754,Alžeeria,LOC
1759,London,LOC
1761,Atamnia Yacine,PER
1764,Bangkok,LOC
1767,prantsuse,LOC
1768,Hispaania,LOC
1772,ETV Online,ORG
1775,London,LOC
1782,Jürgenson,PER
1787,Toivo Jürgenson,PER
1793,Reformierakond,ORG
1795,Jürgen Ligi,PER
1797,Toivo Jürgenson,PER
1810,Ligi,PER
1811,Eesti Päevaleht,ORG
1822,Edelaraudtee,ORG
1824,Jürgenson,PER
1836,Kagu-Eest,LOC
1840,Jürgenson,PER
1845,edelaraudtee,ORG
1867,Jürgenson,PER
1875,NATO,ORG
1878,ÜRO keskkonnaprogramm,ORG
1879,UNEP,ORG
1882,Šveits,LOC
1885,Kosovo,LOC
1888,NATO,ORG
1894,UNEP,ORG
1923,UNEP,ORG
1924,Michael Williams,PER
1926,Ida-Šveitsis,LOC
1929,NATO,ORG
1935,Euroopa,LOC
1937,Kosovo,LOC
1946,Williams,PER
1947,Ülemaailmne tervishoiuorganisatsioon,ORG
1948,WHO,ORG
1950,UNEP,ORG
1955,UNEP,ORG
1957,Kosovo,LOC
1962,Euroopa,LOC
1972,NATO,ORG
1975,Jugoslaavia,LOC
1983,Inglismaa,LOC
1986,Inglismaa,LOC
1989,Eesti,LOC
1995,York,LOC
2000,Eesti,LOC
2002,Oliver,PER
2004,sl õhtuleht,ORG
2007,Eesti,LOC
2010,Euroopa,LOC
2012,Saksamaa,LOC
2014,Austria,LOC
2017,Prantsusmaa,LOC
2018,Pariis,LOC
2024,Pakistan,LOC
2027,Pakistan,LOC
2039,Lõuna-Aasiat,LOC
2048,ETV Online,ORG
2060,Pakistan,LOC
2063,Kashmir,LOC
2069,Kesk-Rootsis,LOC
2070,Karlstadis,LOC
2075,SAS,ORG
2085,ETV Online,ORG
2090,Värmland maakond,LOC
2091,Karlsta,LOC
2093,Stockholm,LOC
2105,New York,LOC
2126,Kukumägi,PER
2127,Remsu,PER
2130,Arvo Kukumägi,PER
2134,Olev Remsu,PER
2146,ETV,ORG
2150,Remsu,PER
2160,Kukumägi,PER
2161,teater,ORG
2181,sl õhtuleht,ORG
2188,Kukumägi,PER
2192,Remsu,PER
2203,Eesti televisioon,ORG
2205,Remsu,PER
2206,Kukumäg,PER
2223,Kukumäg,PER
2226,Remsu Kukumägile,PER
2235,Blair,PER
2237,EL,ORG
2239,Brit,LOC
2240,Tony Blair,PER
2243,Euroopa Liidu,ORG
2246,Margaret Thatcher,PER
2248,Brüssel,LOC
2252,Suurbritannia,LOC
2253,euroliit,ORG
2258,Blairile,PER
2259,Brit välisministeerium,ORG
2262,Brit,LOC
2266,euroliit,ORG
2272,The Telegraph,ORG
2273,Suurbritannia,LOC
2275,Brüssel,LOC
2283,Blair,PER
2287,Blair,PER
2295,Prantsusmaa,LOC
2297,Pariis,LOC
2300,CAP,ORG
2302,Pariis,LOC
2306,Jack Straw,PER
2314,Prantsusmaa,LOC
2331,euroliit,ORG
2337,Blair,PER
2340,Blair,PER
2344,briti,LOC
2369,Postimees,ORG
2380,Hille Vooremägi,PER
2400,R-Stamp,ORG
2401,Tallinn,LOC
2403,Vooremäe,PER
2407,Põltsamaa kodu,ORG
2409,põllumajanduskool,ORG
2418,Tambet Valdma,PER
2435,Thor-Sten Vertmann,PER
2445,haridusministeerium,ORG
2449,Andres Pung,PER
2488,Pung,PER
2490,Leedu,LOC
2493,Leedu,LOC
2494,Visaginas,LOC
2502,Aleksei Selivanov,PER
2517,Visaginas,LOC
2528,Visaginas politsei,ORG
2539,Visaginas,LOC
2545,Leedu,LOC
2547,Visaginas,LOC
2551,Ignalina,LOC
2558,Peipsi,LOC
2560,Peipsi,LOC
2569,Peipsi Eesti,LOC
2579,piirivalveamet,ORG
2581,BNS,ORG
2585,Kauks,LOC
2593,Pala vald,LOC
2594,rand asula,LOC
2636,Eesti,LOC
2642,Aleksander Kaspin,PER
2645,Kaspin,PER
2650,Lilto,ORG
2672,Veetee amet,ORG
2674,Malle Lõhmus,PER
2675,Eesti ekspress,ORG
2679,riigikogu,ORG
2680,Olev Laanjärv,PER
2683,Kaspin,PER
2693,kingsepp,PER
2697,Arnold Rüütel,PER
2698,Veljo Kingsepale,PER
2700,Eesti,LOC
2711,Postimees Online,ORG
2714,Eero Raun,PER
2715,raun,PER
2732,Kingsepa,PER
2733,Mäetaguse vald,LOC
2739,Eesti,LOC
2746,Arnold Rüütel,PER
2751,Eesti,LOC
2760,Eesti,LOC
2786,Postimees,ORG
2790,Arnold Rüütel,PER
2791,Ingrid Rüütel,PER
2796,Lennart Meri,PER
2797,Helle Meri,PER
2827,Toomas Savi,PER
2839,kesk,ORG
2841,Rüütel,PER
2843,Keskerakond,ORG
2846,Arnold rüütel,PER
2854,Keskerakond,ORG
2858,Arnold Rüütel,PER
2865,Keskerakond,ORG
2867,Ain Seppik,PER
2870,Keskerakond,ORG
2871,Rüütel,PER
2874,Rüütel,PER
2880,Keskerakond,ORG
2882,Eesti Päevaleht,ORG
2894,Seppik,PER
2900,Eesti,LOC
2907,Seppik,PER
2911,Rüütel,PER
2937,sideministeerium,ORG
2939,Valga teedevalitsus,ORG
2961,Tartu teedevalitsus,ORG
2962,Heino Ristimäe,PER
2963,Eesti Päevaleht,ORG
2975,Valga teedevalitsus,ORG
3000,maanteeamet,ORG
3002,Aleksander Kaldas,PER
3009,Valga teedevalitsus,ORG
3010,Tõnis Pleksepp,PER
3012,Vähero-Tagula,LOC
3024,Pleksepp,PER
3039,Harju teedevalitsus,ORG
3040,Jüri Sepper,PER
3055,Sepper,PER
3058,Harju teedevalitsus,ORG
3079,Toivo Jürgenson,PER
3080,Valga maakond,LOC
3085,Austria,PER
3092,Austria,LOC
3100,Marie Theresia,PER
3113,Brussels Journal,ORG
3129,Austria,PER
3154,Austria,PER
3155,Günther Platter,PER
3167,Eesti koeraspordiliit,ORG
3168,Harku,LOC
3189,Eesti koeraspordiliit,ORG
3190,EKL,ORG
3192,Piret Laanetu,PER
3193,Eesti Päevaleht,ORG
3229,Nikolai Laanetu,PER
3230,Eesti,LOC
3235,EKL,ORG
3263,Laanetu,PER
3268,Tapa,LOC
3274,Tapa,LOC
3281,Virumaa,LOC
3283,AS Tapa vesi,ORG
3284,Tapa vallavalitsus,ORG
3286,AS Tapa vesi,ORG
3291,EPL Online,ORG
3300,AS Tapa vesi,ORG
3307,Tallinn,LOC
3310,Tallinn,LOC
3317,Tallinn,LOC
3318,Jüri Ratas,PER
3343,ratas,PER
3344,Tallinn,LOC
3350,maks - ja tolliamet,ORG
3353,Tallinn,LOC
3375,Faktum,ORG
3377,Eesti,LOC
3442,Eesti Päevaleht,ORG
3500,Põhja-Eest regionaalhaigla,ORG
3502,Kaire Aadamsoo,PER
3532,Aadamsoo,PER
3540,sotsiaalministeerium,ORG
3542,Andre Vetka,PER
3568,USA,LOC
3569,Suurbritannia,LOC
3570,Prantsusmaa,LOC
3571,Saksamaa,LOC
3572,Venemaa,LOC
3573,Hiina,LOC
3576,Iraan,LOC
3579,Suurbritannia,LOC
3580,Margaret Beckett,PER
3582,ÜRO,ORG
3589,Fox News,ORG
3591,USA,LOC
3611,USA,LOC
3615,Iraan,LOC
3617,Teheran,LOC
3623,Washington,PER
3625,USA,LOC
3629,USA,LOC
3632,valitsus,LOC
3633,Iraan,LOC
3643,USA,LOC
3649,Georg W. Bush,PER
3652,USA,LOC
3659,India parlament,ORG
3670,India,LOC
3671,Georg Fernandes,PER
3706,Atal Behari Vajpayee,PER
3707,Bharatiya Jana,ORG
3708,Bangaru Laxman,PER
3723,Laxman,PER
3732,Vene,LOC
3734,Vene,LOC
3736,Egiptus,LOC
3752,Mosnews.com,ORG
3770,Vene,LOC
3772,Sharm El-Sheikhist,LOC
3776,Lääne-Eest,LOC
3782,Pärnumaa,LOC
3783,Läänemaa,LOC
3789,Pärnu,LOC
3791,Sky Plus,ORG
3806,Delfi,ORG
3809,Pärnu linn,LOC
3821,Pärnumaa,LOC
3852,Pärnu linn,LOC
3857,Haapsalu,LOC
3862,Läänemaa,LOC
3873,Pärnumaa,LOC
3874,Läänemaa,LOC
3880,Vene,LOC
3882,Tallinn,LOC
3884,Tallinn,LOC
3886,Venemaa,LOC
3902,Siber,LOC
3903,Kogalõm,LOC
3904,Tallinn,LOC
3913,Kogalõm Avia,ORG
3920,BNS,ORG
3923,Tõnu Ader,PER
3933,Ader,PER
3944,Tallinn .,LOC
3959,Tallinn tuletõrje - ja päästeamet,ORG
3962,Tallinn,LOC
3970,Eesti,LOC
3972,Tallinn,LOC
3973,Venemaa,LOC
3981,Eesti,LOC
3999,BNS,ORG
4014,NSV liit,LOC
4028,Soome,LOC
4029,Eesti,LOC
4031,Soome,LOC
4032,Savonlinn,LOC
4036,Eesti,LOC
4038,STT,ORG
4041,ahvensalm,LOC
4048,PM Online BNS,ORG
4053,Savonlinn,LOC
4060,Eesti Post,ORG
4061,Tuula,PER
4063,Eesti Post,ORG
4066,Tauno Tuula,PER
4069,Postimees,ORG
4077,Eesti Post,ORG
4079,Peeter Raudsepp,PER
4087,Postimees Online,ORG
4093,Eesti Post,ORG
4101,Raudsepp,PER
4106,Eestimaa,LOC
4115,Eesti Post,ORG
4132,Lüganuse,LOC
4136,Kunda,LOC
4138,Lüganuse kihelkond,LOC
4141,Kunda linnavalitsus,ORG
4144,maavald koda,ORG
4145,Kunda,LOC
4147,Kunda,LOC
4151,Kunda linnavolikogu,ORG
4153,Kunda,LOC
4162,maavald koda,ORG
4163,Kunda linn,LOC
4164,Oceans OÜ,ORG
4166,Kunda,LOC
4175,Lüganuse kihelkond,LOC
4177,Kaja Toikka,PER
4179,Kunda linnavolikogu,ORG
4181,Kunda,LOC
4185,Lüganuse kihelkond,LOC
4188,Lüganuse vallavolikogu,ORG
4190,Purtse,LOC
4198,Kunda linnavolikogu,ORG
4209,maavald koda,ORG
4210,Kunda,LOC
4244,Tartu halduskohus,ORG
4245,maavald koda,ORG
4246,härjapea koda,ORG
4249,Kunda linnavolikogu,ORG
4253,härjapea koda,ORG
4274,Laar,PER
4276,Rüütel,PER
4278,Voldemar Kolga,PER
4280,Eesti Televisioon,ORG
4290,Alvin Toffler,PER
4293,Kolga,PER
4294,Eesti Päevaleht,ORG
4295,laar,PER
4297,Ansip,PER
4299,rüütel,PER
4300,savisaar,PER
4313,Laaril,PER
4314,Kolga,PER
4331,Kolga,PER
4332,Laar,PER
4342,Ansip,PER
4369,Kolga,PER
4370,Ansip,PER
4377,Ansip,PER
4381,Euroopa,LOC
4385,NL,ORG
4396,Rüütel,PER
4404,Kolga,PER
4405,Toffler,PER
4443,Tallinn,LOC
4445,Kolga,PER
4453,Rüütel,PER
4465,Savisaar,PER
4469,Laar,PER
4471,Ansip,PER
4473,Rüütel,PER
4475,Kolga,PER
4477,Savisaar,PER
4478,Lihula,LOC
4498,Varssavi,LOC
4502,rüütel,PER
4507,Savisaar,PER
4511,Voldemar Kolga,PER
4521,Reps,PER
4527,Mailis Repsil,PER
4537,Jaan Kallas,PER
4555,Reps,PER
4557,sl õhtuleht,ORG
4569,sl Õhtuleht,ORG
4571,haridus - ja teadusministeerium,ORG
4573,Lääne-Eest,LOC
4575,Sirja Jõgine,PER
4584,haridus - ja teadusministeerium,ORG
4588,Sirje Jõgine,PER
4591,Reps,PER
4595,Kallas,PER
4612,Priit Simson,PER
4615,Lõuna-Aafrika,LOC
4638,Paavst Benedictus XVI,PER
4647,Vatikan,LOC
4649,Tarcisio Bertone,PER
4663,ETV24,ORG
4665,Bertone,PER
4669,Vatikan,LOC
4687,Vatikan,LOC
4689,Egiptus,LOC
4712,Mohamme Habib,PER
4713,paavst,PER
4716,Saks,LOC
4717,Angela Merkel,PER
4722,Eesti,LOC
4729,Austraalia,LOC
4731,Leedu,LOC
4732,Eesti,LOC
4736,keskkriminaalpolitsei,ORG
4746,Eesti,LOC
4755,Raul Vahtra,PER
4778,Navigator Australia Ltd,ORG
4783,Navigator Australia Ltd,ORG
4784,Dreba Forex Management,ORG
4785,SEB Vilniaus Bankas,ORG
4789,Navigator Australia Ltd,ORG
4797,Austraalia,LOC
4799,leetuma,LOC
4802,Eesti,LOC
4804,Leedu,LOC
4808,Eesti,LOC
4809,Eesti,LOC
4814,Eesti,LOC
4819,Eesti keskkriminaalpolitsei,ORG
4829,Hansapank,ORG
4830,Sampo pank,ORG
4847,Leedu,LOC
4851,Leedu,LOC
4855,keskkriminaalpolitsei,ORG
4872,voog,PER
4873,Isamaaliit,ORG
4875,Tallinn,LOC
4877,Rein Voog,PER
4879,Isamaaliit Reformierakond,ORG
4890,Reformierakond,ORG
4891,Isamaaliit,ORG
4901,isamaaliit,ORG
4905,Voog,PER
4906,EPL Online,ORG
4911,voog,PER
4914,Reformierakond,ORG
4917,Tallinn,ORG
4919,Jüri Mõis,PER
4935,Isamaaliit,ORG
4936,Tallinn,LOC
4938,Liisa Pakosta,PER
4942,Pakosta,PER
4944,Isamaaliit,ORG
4945,Reformierakond,ORG
4950,Reformierakond,ORG
4961,Voog,PER
4970,Priit Vilba,PER
4972,lilleküla,LOC
4979,Isamaaliit,ORG
4982,Isamaaliit,ORG
4985,reformierakond,ORG
4999,Voog,PER
5001,Voog,PER
5008,Eesti,LOC
5029,Pakosta,PER
5031,EPL Online,ORG
5036,Isamaaliit,ORG
5037,Reformierakond,ORG
5040,Reformierakond,ORG
5041,Isamaaliit,ORG
5044,Tallinn linnavalitsus,ORG
5052,Pakosta,PER
5053,EPL Online,ORG
5069,Isamaaliit,ORG
5070,Tallinn,LOC
5072,Pakosta,PER
5118,Tallinn,LOC
5120,Pakosta,PER
5130,keskerakond,ORG
5132,Liisa Pakosta,PER
5136,Keskerakond,ORG
5170,USA,LOC
5178,NATO,ORG
5182,kaitseministeerium,ORG
5222,Toomas Hendrik,PER
5223,ilves,LOC
5232,Eesti Päevaleht,ORG
5237,Ilves,PER
5252,Faktum & Ariko,ORG
5253,Kalev Petti .,PER
5274,Ilves,PER
5284,Petti,PER
5303,Eesti Päevaleht Online,ORG
5306,rahvusooper Estonia Poistekoor,ORG
5307,Revalia Kammerkoor,ORG
5309,Hirvo Surva,PER
5310,Oleg Pissarenko,PER
5311,Trio,ORG
5312,Üle-Eestiline Noor sümfooniaorkester,ORG
5313,Jüri Ruut Kangur,PER
5315,Gerli Padar,PER
5316,Jassi Zahharov,PER
5317,Ivo Linna,PER
5318,Mikk Dede,PER
5327,Eesti vähiliit,ORG
5334,Estonia kontserdisaal,ORG
5336,piletilevi,ORG
5337,piletimaailm,ORG
5343,Pärnu,LOC
5344,viiking,ORG
5348,Eesti vähiliit,ORG
5357,terviseleht,ORG
5371,E,ORG
5380,Tallinn linnavalitsus,ORG
5384,Tallinn,LOC
5390,Tallinn,ORG
5392,Ivar Virkus,PER
5401,Äripäev Online,ORG
5402,Tallinn,LOC
5414,ETA raepress,ORG
5426,Eesti,LOC
5427,Iraak,LOC
5428,Afganistan,LOC
5437,kaitseministeerium,ORG
5444,Araabia,LOC
5452,Postimees,ORG
5455,araabia,LOC
5458,kaitseministeerium,ORG
5460,Eesti,LOC
5464,kaitseministeerium,ORG
5466,Aet Kuke,PER
5469,rootsi,LOC
5470,itaalia,LOC
5471,hispaania,LOC
5492,kaitseministeerium,ORG
5498,Kukk,PER
5499,kaitseliit,ORG
5502,kaitseliit,ORG
5504,kaitseliit,ORG
5511,kaitseliit,ORG
5523,Delfi,ORG
5525,Tiit Tammsaar,PER
5526,valitsusliit,ORG
5528,rahvaliit,ORG
5533,Nestor,PER
5537,Eiki Nestor,PER
5540,Eesti,LOC
5543,sotsiaalministeerium,ORG
5556,Andres Tarand,PER
5578,tarand,PER
5604,Tarand,PER
5605,politsei,ORG
5617,politsei,ORG
5623,politsei,ORG
5633,Tallinn,LOC
5644,Mait,PER
5649,Koit,PER
5654,Mare,PER
5661,Mustamägi haigla,ORG
5678,põhi politseiprefektuur,ORG
5683,Toomas Hendrik Ilves,PER
5684,Narva,LOC
5686,Toomas Hendrik Ilves,PER
5688,Ida-Virumaa,LOC
5691,Narva humanitaargümnaasium,ORG
5693,Ida-Virumaa,LOC
5700,Ida-Virumaa,LOC
5701,Ago Silde,PER
5703,AS Wienerberger aser,ORG
5705,Narva humanitaargümnaasium,ORG
5716,Marianne Mikko,PER
5733,Delfi SDE,ORG
5746,Eesti Ajakirjanik Liidu,ORG
5747,Marica Lillemets,PER
5752,Eesti,LOC
5756,Jüri Uljas,PER
5764,Tõnu Õnnepalu,PER
5768,sotsiaalministeerium,ORG
5769,Ülle-Marike Papp,PER
5772,Eesti,LOC
5776,Euroopa Parlamend,ORG
5777,Marianne Mikko,PER
5779,Valgamaa,LOC
5784,Valga maakond,LOC
5785,Sangaste vald,LOC
5786,Keen küla,LOC
5797,Iisrael,LOC
5800,Iisrael,LOC
5801,Ehu Olmert,PER
5807,Saks,LOC
5808,Sat 1,ORG
5810,Iisrael,LOC
5814,Olmert,PER
5816,Iisrael,LOC
5820,Iraan,LOC
5825,BBC .,ORG
5829,Iraan,LOC
5834,Ameerika,LOC
5835,prantsuse,LOC
5836,Iisrael,LOC
5837,Venemaa,LOC
5840,Olmert,PER
5841,Iisrael,LOC
5845,Olmert,PER
5849,Iisrael,LOC
5856,Iisrael,LOC
5861,Iraan,LOC
5869,saksa,LOC
5871,Olmert,PER
5874,Iraan,LOC
5877,Iisrael,LOC
5879,Iisrael,LOC
5894,Olmert,PER
5896,Iraan,LOC
5899,Iisrael,LOC
5902,Olmert,PER
5904,Iraan,LOC
5907,Ameerika,LOC
5908,Prantsusmaa,LOC
5909,Iisrael,LOC
5910,Venemaa .,LOC
5911,Olmert,PER
5915,Iisrael,LOC
5926,Iisrael,LOC
5928,Lähis-Idas,LOC
5931,Olmert,PER
5934,Iisrael,LOC
5939,uljaspea,PER
5940,Harjumaa,LOC
5942,Harju liikluspolitsei,ORG
5961,Grisha,PER
5969,Harju liikluspolitsei,ORG
5999,Alex Lepajõgi,PER
6000,Alex Lepajõgi,PER
6009,majanduskaitse büroo,ORG
6017,Kalle Salus,PER
6024,aripaev.ee,ORG
6035,Alex Lepajõgi,PER
6042,lepajõgi,PER
6085,majanduskaitse büroo,ORG
6094,Laur Vitsut,PER
6105,majanduskaitse büroo,ORG
6106,Tallinn kultuuriväärtus amet,ORG
6112,lepajõgi,PER
6124,Vitsut,PER
6128,Harri Väli,PER
6137,majandusbüroo,ORG
6141,kultuuriväärtus amet,ORG
6164,Vitsut,PER
6169,Jaanus Mutli,PER
6172,Tallinn linnavalitsus,ORG
6178,Jaanus Mutli,PER
6180,Tallinn,LOC
6187,Tallinn linnavalitsus,ORG
6198,Jaanus Mutli,PER
6206,Tallinn,LOC
6216,Mutli,PER
6233,Tallinn transpordiamet,ORG
6235,Tiia-Liis Jürgenson,PER
6238,Tallinn,LOC
6246,Jürgenson,PER
6247,Luman,PER
6248,EL,ORG
6252,Toomas Hendrik Ilves,PER
6254,Toomas Luman,PER
6259,Eesti,LOC
6261,Euroopa Liidu,ORG
6266,Eesti,LOC
6271,Toomas Luman,PER
6282,Toomas Hendrik Ilves,PER
6286,Eesti,LOC
6287,Euroopa Liit,LOC
6298,Euroopa Liidu,ORG
6304,Luman,PER
6307,Eesti,LOC
6308,EL,ORG
6315,EL,ORG
6317,Eesti,LOC
6321,Ilve,PER
6328,EL,ORG
6333,Tartu ülikool,ORG
6334,Urmas Varblane,PER
6336,Eesti,LOC
6366,varblane,PER
6384,varblane,PER
6385,Luman,PER
6394,Euroopa liit,LOC
6396,välisministeerium,ORG
6402,Euroopa Liidu,ORG
6405,Toomas Hendrik Ilves,PER
6412,Enn Soosaar,PER
6413,Erik Terg,PER
6414,Ilves,PER
6424,EL,ORG
6464,Luman,PER
6473,Eesti,LOC
6489,Eesti,LOC
6491,EL,ORG
6494,Norra,LOC
6500,Jens Stoltenberg,PER
6504,Norra,LOC
6532,Stoltenberg,PER
6537,Norra,LOC
6542,Dagbladet,ORG
6549,Norra,LOC
