,pred,hypothesis,i-5,i-4,i-3,i-2,i-1,i,i+1,i+2,i+3,i+4,i+5
34,,ORG,presidendivalimistega,seonduvaid,intriige,pärines,just,keskerakonna,ridadest,.,Savisaar,lõi,kaardid
35,,LOC,enamik,neist,õrnemast,soost,.,Vene,piigade,kamp,tuli,restorani,","
36,,LOC,palju,aega,ja,lõbus,noorte,vene,piigade,kamp,hakkab,muusika,saatel
37,,LOC,Edzard,Schaper,“,Maailma,lõpp,Hiiumaal,”,.,Loomingu,Raamatukogu,nr
38,,LOC,vürst,Volkonski,vestetud,Buniniga,.,Vene,romansse,laulavad,Heli,Vahing,ja
39,,LOC,mõlemad,",",tundlikku,ja,tundlevat,vene,hinge,peegeldas,nii,üks,kui
40,,LOC,",",pole,just,raske,Buninit,vene,romanssidega,haakida,.,Ei,vesta
41,,LOC,on,parasjagu,vaimustatud,19.,sajandi,vene,kirjandusest,ja,räägib,aina,semstvovalitsusest
42,,LOC,järsku,tähtsus,ja,tähendus,.,Prantsuse,",",saksa,ja,kasvõi,araabia
43,,LOC,popsi,mentaliteet,on,murtud,.,Briti,vaimu,sünnilava,on,taastatud,“
44,PER,LOC,",",kes,laenasid,raha,Kolumbusele,Ameerika,avastamiseks,",",peavad,tänaseni,Itaalias
45,,LOC,ja,osta,.,Sobis,hästi,vene,aja,lõpus,.,Kauba,hind
46,,LOC,et,Tiit,läheb,kinni,.,Vene,ajal,me,olime,harjunud,","
47,,LOC,!,Selle,mõtte,toetuseks,viitan,prantsuse,mõtlejale,Jacques,Derridale,",",keda
48,,LOC,Lapini,eeskujudeks,olid,Malevitš,ja,vene,avangard,",",õppejõud,Edgar,Johan
49,,LOC,aktiivselt,nii,kohalike,kui,ka,vene,avangardkunstnikega,",",omades,sõpruskonda,Tõnis
50,,LOC,pakkumine,",",olin,mina,ainuke,prantsuse,keelt,valdav,kompositsiooniüliõpilane,.,Sinu
51,,LOC,selles,kasutatav,keel,-,tugevate,vene,mõjudega,inglise,keel,",",mida
52,,LOC,kaasvõitleja,.,Kui,riigikogus,kolm,vene,fraktsiooni,liiget,hääletasid,Lennart,Meri
53,,LOC,ja,suhteid,.,Nii,kasvab,vene,stiil,",",kui,Lääne,kapital
54,,LOC,sosistavad,",",pead,koos,",",vene,gospozhaad,",",Kogani,nina,all
55,,LOC,lähtudes,",",kuidas,siis,nn,vene,meditsiini,keskus,terasid,sõkaldest,eraldama
56,,LOC,.,Venemaa,maksab,Eesti,haigekassadele,vene,sõjaväepensionäride,ravimise,eest,",",aga
57,,LOC,väga,paljud,eesti,poliitikud,panuse,vene,valijatele,.,Nüüd,on,täpselt
58,,LOC,sigaduseks,.,”,Suhted,kohalike,vene,poliitikutega,Vene,kogukonda,Eestis,kui
59,,LOC,pole,olemas,.,Ka,suurtes,vene,keskustes,Ida-Virumaal,puuduvad,oma,üldtunnustatud
60,,LOC,küsitlus,näitas,",",et,ühelgi,vene,liidril,(,Mišin,",",Andrejev
61,,LOC,",",austria,",",ungari,",",prantsuse,",",saksa,ja,poola,päritolu
62,,ORG,talle,teadmata,",",millistel,teemadel,Õhtuleht,kirjutab,.,Küll,aga,usub
63,,LOC,ootab,viie,aasta,pärast,ees,Londoni,linnaliiklust,?,a.,kuulsad,kahekorruselised
64,,LOC,tehtud,“,välismaalasel,”,või,vene,keelt,kõneleval,eestlasel,oma,paberlike
65,,LOC,stigmast,.,Ta,hakkas,kirjutama,prantsuse,keeles,",",õieti,tegi,valmis
66,,LOC,.,Muidugi,",",Kundera,liigub,prantsuse,intellektuaalide,ringkonnas,",",ta,kirjutab
67,,ORG,järjepidevuse,pärast,.,16.9,.,Õhtulehes,deklareerib,ta,:,“,Järjepidevus
68,,LOC,peipsiäärne,sibul,",",mida,kasvatab,vene,õigeusklik,",",ei,sobi,söögiks
69,,LOC,Silberg,tunneb,heameelt,",",et,vene,turg,on,suletud,",",kuid
70,,LOC,ekspordiks,põhjamaadesse,.,“,Isegi,vene,ajal,ei,kaotanud,me,siin
71,,LOC,.,Parimal,juhul,võib,edukaim,vene,valimisliit,jõuda,pingereas,kolmandale,kohale
72,,LOC,",",kus,puudub,sõna,“,vene,”,.,See,aga,võib
73,,LOC,piketeerida,.,Nende,eesmärgiks,on,vene,identiteedi,säilitamine,Eestis,",",mistõttu
74,,LOC,ja,sillaks,kahe,tülitseva,suure,vene,partei,vahel,.,Tõsi,küll
75,,LOC,”,",",Sergei,Ursuljaki,“,Vene,ragtime,”,",",Sergei,Dvortsevoi
76,,LOC,Seoses,filmipäevadega,tuleb,meile,10liikmeline,vene,kinoinimeste,delegatsioon,eesotsas,Vene,Föderatsiooni
77,,LOC,Andrei,Tarkovski,varast,surma,tuntuim,vene,filmilavastaja,",",kes,leiab,alati
78,,LOC,kahte,aastat,nimetavad,pessimistid,koguni,vene,kino,“,surnud,hooajaks,”
79,,LOC,”,.,Mitmel,aastal,pole,vene,filme,olnud,Veneetsia,festivalil,ja
80,,LOC,tööd,.,Traditsiooni,järgivalt,võistlevad,vene,filmid,endiselt,Berliinis,ja,saavad
81,,LOC,ajaloos,ei,olnud,seal,mullu,vene,filme,.,Nagu,mujal,Ida-
82,,LOC,et,vaatamata,edule,välismaal,võib,vene,filmikunst,mõne,aja,möödudes,täielikult
83,,LOC,”,ning,Konstantin,Lopušanski,“,Vene,sümfoonia,”,käisid,läbi,väga
84,,LOC,Eestis,toimuva,filminädala,raames,demonstreeritavate,vene,filmide,autorite,nimesid,",",näete
85,,LOC,.,Õige,mitmel,puhul,on,vene,filmiloojate,teravdatud,taju,aidanud,luua
86,,LOC,",",mille,toovad,meieni,kaasaegsed,vene,filmid,",",on,pehmelt,öeldes
87,,LOC,Lisagem,sellele,veel,määramatu,kogus,vene,intelligentsile,eriomast,masohhismi,-,näiteks
88,,LOC,kinokokteil,",",mille,maitseomadustes,on,vene,tegelikkusest,väljaspool,asuval,vaatajal,väga
89,,LOC,milliseid,raskusi,valmistab,lääne,kinogurmaanidele,vene,filmikunsti,esteetika,ja,huumori,tabamine
90,,LOC,on,ses,mõttes,lihtsam,:,vene,kaasaegse,filmikunsti,inspiratsiooniallikad,on,meile
91,,LOC,vaadata,?,Kõigepealt,muidugi,ühe,vene,imetlusväärsema,rezhissööri,Vadim,Abdrašitovi,(
92,,LOC,sigidikku,”,",",mis,valminud,vene,süngeima,klassiku,Fjodor,Sologubi,samavõrd
93,,LOC,alusel,.,Artiklis,on,kasutatud,vene,tuntuima,filmikriitiku,Andrei,Plahhovi,andmeid
94,,LOC,ja,küllap,mõne,muugi,jaoks,prantsuse,maitse,esimesed,pääsukesed,.,Firma
95,,LOC,sobib,B,&,G,hästi,prantsuse,veiniilmas,reisimiseks,-,ekstraklassi,te
96,,LOC,Holodnaja,õnnetust,armastusest,b,.,vene,maffiast,Soomes,c,.,Urho
97,,LOC,pidi,keskkoolilõpetaja,valdama,8000,sõna,vene,keelt,",",siis,tulevikus,on
98,,LOC,.,Aga,need,kõik,tegid,prantsuse,kultuurilugu,",",aitasid,kunstnikke,","
99,,LOC,Nii,võib,öelda,",",et,prantsuse,kuningriigi,hiilguse,",",mida,kogu
100,,LOC,salga,",",kuulub,siiski,täielikult,prantsuse,kirjandusele,?,Kui,Eesti,uuesti
101,,LOC,uuesti,vabaks,sai,",",hõiskas,prantsuse,ajakirjandus,",",et,“,nüüd
102,,LOC,tuletab,soome,kuivikleib,meelde,pigem,vene,kuivikut,ja,barankat,.,Rikkalikust
103,,LOC,kuu,pikkune,laagerdamine,väikesemahulises,noores,prantsuse,tammevaadis,.,Veini,valmistaja,Imre
104,,LOC,mälumängu,d,.,savate'd,(,prantsuse,poks,),9.,Milline,tuntud
105,PER,LOC,",",Vaba,Maailm,",",Vaba,Euroopa,",",vabastamine,",",vabastajad,","
106,,ORG,maapakku,minna,",",kui,pealinnas,keskerakond,venelaste,ja,maameeste,toel,võimule
107,,ORG,ole,usinaid,ideolooge-töömesilasi,nagu,näiteks,keskerakonnal,või,isamaalastel,.,Vähil,võib
108,,LOC,suurest,hulgast,endistest,poksijatest,",",vene,",",eesti,ja,kaukaasia,päritolu
109,,LOC,matuselised,",",nii,eesti,kui,vene,keelt,kõnelevad,",",pidasid,tõenäoliseks
110,,LOC,Mäng,kõneles,soravalt,eesti,ja,vene,keelt,",",suhtles,vabalt,nii
111,,LOC,otsis,aknalaualt,oma,kapsapeaga,kaunistatud,vene,keele,õpikut,:,“,Missä
112,,LOC,Kuninglik,Armee,õpetas,teile,selgeks,vene,keele,.,Mida,teeb,Rootsi
113,,LOC,.,Mida,teeb,Rootsi,armees,vene,keele,tõlk,?,“,Vaadake
114,,LOC,.,”,Tänu,vene,Tännu,vene,keele,oskusele,saatis,Handelsbanken,teid
115,,LOC,”,Kahekõne,spiikeriga,esitab,Kragh,vene,keeles,.,“,Et,arutelu
116,,LOC,eesti,keeles,.,Mina,rääkisin,vene,keeles,.,Nii,nad,siis
117,ORG,PER,neid,4.,okt,.,EEs,Tõnu,.,Kaalep,diplomaatiliselt,nimetab,.
118,PER,LOC,arvu,reisijatega,.,Süüdi,on,Saksa,tehased,",",Rootsi,press,ja
119,PER,LOC,Statoil,ja,McDonald's,.,Hotell,Narva,renoveeritakse,.,Sooja-,ja,veeprobleemid
120,,ORG,Pärnumaal,said,inimesed,valida,vaid,keskerakonna,liikmete,vahel,.,Pühapäeval,Lavassaare
121,,ORG,.,Aga,miks,ikkagi,ainult,keskerakond,?,Endine,vallavolikogu,pensionärist,esimees
122,,ORG,Lavassaares,olid,ikka,isikuvalimised,",",keskerakond,ei,saa,seda,oma,võiduks
123,,LOC,-,pagasiautomaadid,töötavad,veel,vana,vene,rahaga,.,Kirikus,",",kuhu
124,,LOC,meelde,Reserva,1991,isikupärane,",",prantsuse,tamme,ülekaaluga,",",jõuline,stiilinäide
125,,LOC,tagumik,.,Firma,kasutab,ainult,prantsuse,tammest,vaate,ning,seetõttu,on
126,,ORG,Tamme,meeleheitlikke,katseid,raeklubist,",",keskerakonnast,ja,venelastest,koalitsiooni,kokku,seada
127,,LOC,tööjõud,.,”,Nagu,ütleb,vene,kõnekäänd,“,Pozhivjom,",",uvidim
128,ORG,LOC,.,Sarnase,äriga,tegeleb,ka,Viljandi,aktsiaselts,Maa,ja,Talu,.
129,PER,LOC,",",kust,ma,helistan,.,Viljandi,paistab,kuldringlastele,täiesti,lootusetu,koht
130,ORG,LOC,.,Pooled,kuulutuselehe,telefoninumbrid,on,Viljandi,omad,.,Üks,pisukese,vene
131,,LOC,Viljandi,omad,.,Üks,pisukese,vene,aktsendiga,proua,rääkis,samuti,sellest
132,,LOC,saadaval,korralik,valik,hispaania,",",prantsuse,",",saksa,",",rumeenia,","
133,,LOC,seda,investeerida,3.,Mida,arvas,vene,kuulus,ühiskonnateadlane,Lev,Gumiljov,eestlaste
134,,LOC,AICA,ülemaailmne,aastakonverents,",",kuhu,prantsuse,kunstikriitikud,kutsusid,esinema,ekstravagantse,Orlani
135,,LOC,allutada,see,kultuurile,nagu,baroklikus,prantsuse,aias,",",kus,puud,ja
136,,LOC,Orlani,vastused,olid,suuremalt,jaolt,prantsuse,keeles,",",mida,aitas,hiljem
137,,LOC,Mobiiltelefoniga,räägib,ta,eesti,",",vene,",",inglise,ja,soome,keeles
138,,LOC,kihutas,Eesti,koondisest,minema,kõik,vene,mängijad,.,Pohlak,hävitas,venelastest
139,,LOC,Pärast,seda,kartis,Pohlak,kaua,vene,miilitsat,.,Praegu,kardab,Pohlak
140,,LOC,et,tegemist,on,silmatorkavalt,halvasti,vene,keelt,oskavate,eestlastega,.,Miks
141,,LOC,see,",",millega,mind,tituleeriti,vene,kroonus,:,jobennõi,estonets,","
142,,LOC,Mongoli-tatari,ike,jättis,oma,jälje,vene,rahva,hinge,",",ka,folkloori
143,,LOC,Tänavu,liituti,kaubandusketiga,SPAR-International,.,Hollandi,päritolu,SPAR,kett,tegutseb,27
144,,LOC,juhtide,heakskiidul,alustas,Keskerakonna,ja,vene,erakondadega,läbirääkimisi,alternatiivse,koalitsiooni,sõlmimiseks
145,,LOC,lubatud,Rodnenkov,küsinud,U,.T-lt,vene,keeles,:,“,Kas,Olegi
146,,LOC,kitliga,kannukoristaja,Ljubov,Fjodorova,teeb,vene,estraadi,taktis,tantsusamme,.,Õllesaali
147,,LOC,“,Kui,palju,sul,siin,vene,naisi,on,olnud,?,”
148,,LOC,katki,üheksakümnendate,algul,",",kui,vene,masinaid,enam,rajale,ei,lubatud
149,,LOC,linnavalitsuse,käsk,ajas,närvi,kohalikud,vene,ajalehed,?,a.,mittekodanikud,peavad
150,,LOC,aasta,sügisel,avalikkust,üllatada,a.,vene,kantpeade,ja,araabia,naftašeikide,lemmiku
151,,LOC,eksistentsialism,muud,on,kui,ühe,prantsuse,kohvikuintelligendi,masendus,pärast,seda,","
152,,LOC,Oleks,ebaõiglane,samastada,fašismi,eesmärke,vene,kommunismi,omadega,.,Esimene,kujutab
153,,LOC,",",et,uus,paik,apelleerib,prantsuse,köögikultuurile,ning,vahemeremaalisele,arhailise,külakõrtsi
154,,LOC,',likööriga,(,enim,imporditud,prantsuse,liköör,",",muide,),ja
155,,LOC,toimumas,paradigmaatiline,muutus,.,Kallite,prantsuse,veinide,hinnad,ju,ei,lange
156,,LOC,2.,Milline,päevakohane,järjejutt,ilmub,vene,päevalehes,Russki,Telegraf,?,a.
157,,LOC,b,.,Kalevi,pataljonis,kõneldakse,vene,keelt,c,.,ükskõik,kuhu
158,,LOC,Arci,lugu,on,üks,rahvapärasemaid,prantsuse,ajaloos,.,Temast,on,kirjutatud
159,,LOC,Künstler,Eesti,päritolu,Moskvas,elav,vene,kirjanik,Ahto,Levi,(,sündinud
160,,LOC,tuleb,mõlemas,kohas,koalitsiooni,kutsuda,vene,parteid,.,Tallinna,volikogust,alguse
161,,LOC,ja,Koonderakonna,hääletusmasina,eeldatav,lappimine,vene,saadikute,häältega,nõuab,kindlasti,oma
162,,LOC,ilmtingimata,eesotsas,istuma,mõni,raudhammastega,vene,vanamees,",",kes,keelab,","
163,,LOC,Jaan,Ruus,:,See,on,vene,keelest,tulnud,eufemism,sõnale,“
164,,LOC,Mõõdukad,kui,ka,Keskerakonna,ja,vene,erakondadega,.,Läbirääkimised,jooksevad,ummikusse
165,,LOC,paluvad,toetust,endisi,intreid,sisaldava,vene,fraktsiooni,vastu,.,Lepitakse,kokku
166,,LOC,koalitsioonilepingu,sisu,.,Kuigi,mõõdukate,vene,saadikute,seas,on,mitmeid,","
167,,LOC,kogemus,.,Tänapäeval,on,kõigis,prantsuse,veinikultuuri,hindavates,maades,muutunud,auasjaks
168,,LOC,Pentagonist,imerohu,4.,Mida,tegi,vene,poptäht,Konstantin,Kintšev,talle,putši
169,,LOC,ajendaski,mind,kirjutama,Venemaast,ja,vene,vaimust,.,Kuidas,tabada,vene
170,,LOC,vene,vaimust,.,Kuidas,tabada,vene,mentaalsust,?,Paljudel,nähtustel,on
171,,LOC,-,ja,elavad,praegu,-,vene,intellektuaalid,.,Tean,",",et
172,,LOC,põlvkonnal,",",kes,ei,oska,vene,keelt,.,Selle,asemel,sööme
173,,LOC,pool,läänes,",",joome,punast,prantsuse,veini,ja,šoti,viskit,","
174,,LOC,teha,nähtavaks,mõned,nähtamatud,asjad,vene,kultuuris,.,Peeter,Suure,imago
175,,LOC,skulptor,Mihhail,Šemjakin,teinud,suure,vene,tsaariga,.,Ta,on,pandud
176,,LOC,sellises,Peeter,Suure,kujutamises,peegeldub,vene,intellektuaalide,opositsioon,võimule,.,Vene
177,,LOC,raha,",",nagu,ka,nendel,vene,noortel,",",kes,muide,näevad
178,,LOC,Eestis,praegu,kõige,intensiivsemalt,just,prantsuse,oma,.,See,on,hea
179,,LOC,tekkis,saksa,klassikalise,dirigeerimiskoolkonna,ja,vene,dirigentide,vaheline,omamoodi,ühiskool,","
180,,LOC,tekitaks,probleeme,põlisrahvale,.,Enamik,vene,ümberasujaist,pole,neid,tingimusi,suvatsenud
181,,LOC,",",kes,suhtleb,meiega,eranditult,vene,keeles,.,Võibolla,kuskil,on
182,,LOC,pole,kirja,pandud,soovist,tuua,vene,ümberasujate,ja,nende,järglaste,mõtlemine
183,,LOC,ja,-,filmidega,ning,suure,vene,rahva,ja,tema,tarkade,juhtide
184,,LOC,(,Temperaga,),paremini,kui,vene,diisliga,",",”,kiidab,lääne
185,,LOC,asuva,Leuveni,filosoofiainstituudi,töökeeleks,on,prantsuse,keel,.,Darmody,olevat,oma
186,PER,LOC,päevad,tagasi,saatis,hr,Allik,Londoni,pedagoogikainstituuti,asjakohase,järelepärimise,",",vastust
187,,LOC,.,Enamik,lojaale,organiseerus,Rahvarinde,vene,sektsiooni,",",mõned,osalesid,isegi
188,,LOC,oodata,kohtu,otsust,.,Rahvarinde,vene,sektsiooni,üks,liider,",",Oleg
189,,LOC,Märkimist,väärib,",",et,praegused,vene,poliitikud,(,riigikogu,fraktsioon,kaasa
190,,LOC,tšetšeenidest,kui,metslastest,on,loonud,vene,propaganda,.,Ristiisa,ilmumine,Haron
191,,LOC,Olümpia,hotellis,ja,Stockmanni,kaubamajas,prantsuse,nädal,hüüdlause,“,La,France
192,,LOC,”,.,See,on,kuue,prantsuse,fotoklassiku,nostalgiliselt,mõjuv,tagasivaade,1920.
193,,LOC,maneerid,.,“,Ta,jõudis,vene,ajal,arhitektuurses,hierarhias,nii,kõrgele
194,,LOC,kõnelevaid,flaame,rohkem,",",võrreldes,prantsuse,keelt,kõnelevate,valloonidega,.,Brüssel
195,,LOC,inglise,.,Ja,mitte,unustada,vene,keelt,!,Ma,ka,ei
196,,LOC,ka,ei,tahtnud,1940.,aastal,vene,keelt,õppida,.,Mitte,üks
197,,LOC,tunnid,ja,selle,asemel,sunniti,vene,keelt,õppima,.,Meie,väga
198,,LOC,...,Te,ei,märkinud,millegipärast,prantsuse,keelt,?,Nimelt,.,Prantslased
199,,LOC,emakeelelise,aktiivsusega,on,ta,tekitanud,prantsuse,keele,suhtes,teatud,tõrke,.
200,,LOC,tõrke,.,Peale,selle,on,prantsuse,keelega,see,häda,",",et
201,ORG,LOC,",",sest,noormees,on,alles,Viljandi,Kultuurikolledzhi,II,kursuse,tudeng,.
202,LOC,PER,tumedat,Sakut,?,See,oli,Ilvese,eriline,nipp,.,THI,vanavanemad
203,ORG,LOC,Maire,Reichenau,(,Raadio,Vaba,Euroopa,),arvates,võiks,THI,salajane
204,,PER,Me,hoiame,nõnda,ühte,”,Ilvese,tõlkes,.,On,vähe,inimesi
205,ORG,LOC,Podrjatsikovi,",",kes,tõmbas,Hoiupanga,Helsingi,kinnisvarabisnisesse,.,Podrjatsikovi,ja,tema
206,,LOC,ärimees,Abram,Sher,",",keda,vene,ajal,tunti,Viru,Aabrami,ja
207,,LOC,elanikke,välja,küpsetades,.,Viimased,vene,perekonnad,andsid,siis,vabatahtlikult,alla
208,,LOC,kiirliin,.,Vene,võimu,ja,vene,raha,lõppemisega,jäi,mõte,soiku
209,,LOC,toolid,",",Prandina,valgustid,",",prantsuse,disainifirma,Ligne,Roset,',mööbel
210,,LOC,.,Nagu,salatoimikust,(,tegelikult,prantsuse,“,Kes,on,kesist,”
211,,LOC,järgi,tehtud,dokumentaalne,meistriteos,“,Jugoslaavia,surm,”,",",mida,soomlased
212,LOC,PER,suvila,ja,ema,maja,Tartus,Tamme,puiesteel,.,Võlausaldajad,tõstsid,hiljuti
213,,LOC,mida,valmistab,silmapaistev,austraalia,päritoluga,prantsuse,veiniuuendaja,.,Veini,on,siin
214,,LOC,vist,populaarseks,artikliks,saanud,pärast,prantsuse,pannkookla,avamist,Müürivahe,tänavas,.
215,,LOC,tegelikult,Repini,joonistus,b,.,vene,rahva,tulevikule,korvamatu,kahju,tekitamise
216,,LOC,.,Katariina,II,ja,muid,vene,ajaloo,naiskuulsusi,kujutavate,aktijoonistuste,avaldamise
217,,LOC,aktijoonistuste,avaldamise,eest,d,.,vene,kultuurikangelaste,(,näiteks,Tšaikovski,)
218,,LOC,ja,jahtidest,ja,aurikutest,ja,vene,allveelaevadest,ning,parasjagu,laskus,saarele
219,,LOC,võimalikult,härrasmehelikult,käituda,.,Et,vene,elanikkond,peab,Eesti,tegeliku,võimu
220,,LOC,veel,saksa,",",rootsi,",",prantsuse,",",itaalia,",",inglise,-
221,,LOC,tegelikult,nii,lihtne,nagu,uuem,prantsuse,filosoofia,.,See,on,ka
222,,LOC,Krull,.,Kui,pidada,sürrealismi,prantsuse,vaimu,avalduseks,",",esindab,Laabani
223,PER,LOC,.,Huvitav,",",miks,Laaban,Pariisi,ei,kolinud,?,Romantilised,reisid
224,,LOC,ja,kritseldasin,esimest,korda,elus,prantsuse,keeles,neli,rida,:,un
225,,LOC,esitamine,vaimustas,Ilja,Kabakovi,",",vene,avangardi,ja,dissidentliku,kunsti,guru
226,,LOC,.,Näitus,1903.,aastal,sündinud,prantsuse,disainerist,ja,funktsionalistlikust,mööblikunstnikust,","
227,,LOC,Pompidou-keskus,Martin,Szekely,.,Kaasaegse,prantsuse,disaineri,",",sisekujundaja,",",linnakujundaja
228,,LOC,sõda,endises,Jugoslaavias,tõsielufilmi,“,Jugoslaavia,surm,”,põhjal,ning,meie
229,,LOC,ja,teiselt,poolt,inglise,",",prantsuse,või,saksa,keeles,.,Lootsin
230,,LOC,arvatud,.,Tervishoiustatistika,põhjal,on,vene,mehed,paremate,tõutunnustega,ja,suurema
231,,LOC,sellele,",",et,kasutan,meelega,vene,pseudonüümi,ja,teenin,kuus,"2,7"
232,,LOC,Leesi,",",Emil,Tode,ja,prantsuse,suursaadiku,fotod,",",oleks,mulje
233,,LOC,materiaalseks,toeks,",",sest,tuub,vene,õlivärvi,maksab,7,krooni,ja
234,,LOC,;,ta,teadusraamatud,on,kirjutatud,prantsuse,(,“,seda,keelt,kasutan
235,,PER,harrastajaile,.,Tema,“,Rummu,Jüri,mälestused,”,on,rahvuslik,kelmiromaan
236,,LOC,omal,ajal,Eesti,taasiseseisvumist,toetanud,vene,päritolu,inimesed,poliitikast,eemale,tõrjutud
237,,LOC,lootust,",",nagu,peaksid,siinses,vene,koloonias,sündinud,vaid,impeeriumi,huve
238,,LOC,neid,",",kes,ei,ole,vene,päritolu,(,on,vana,tõde
239,,LOC,on,vana,tõde,",",et,vene,suurriikluse,kaitsjad,ei,pruugi,olla
240,,LOC,et,kõik,Eesti,taasiseseisvumist,toetanud,vene,päritolu,inimesed,on,poliitikast,eemale
241,,LOC,mulle,Alpha,nime,kuuldes,sellenimeline,vene,eriüksus,",",”,ütles,Hansapanga
242,,LOC,Krasmuse,kohta,.,Saarepera,on,vene,jäätise,maaletooja,AS,Franteni,juhatuse
243,,LOC,külg,ees,sibavaid,krabisid,ja,vene,perekondade,tüütut,kisa,-,kõikjal
244,,LOC,vähegi,omab,tähtsust,vastupidavus,.,Euroopa,krossijooksu,meistrivõistluste,järel,möödunud,kuul
245,,PER,väljasõidutoimikutes,esinevad,agendinimed,(,“,Jüri,”,",",“,Mare,”
246,,PER,Jaan,Kiivit,(,agent,“,Jüri,I,”,),ja,Edgar
247,,LOC,!,),mitte-agent,.,Ka,vene,õigeusu,kirik,kubises,KGB,agentidest
248,,LOC,Samasuguse,endastmõistetavusega,toob,ta,võrdlusi,vene,kirjandusest,",",mis,kah,ju
249,,LOC,käsitluse,Priimäe,esseekogust,“,Mälestusi,Euroopast,”,.,Mutt,ei,hakka
250,,LOC,Ma,pole,kunagi,tundnud,huvi,vene,kultuuri,ega,Venemaa,vastu,","
251,,LOC,Võibolla,sain,“,kaitsepookimise,”,vene,asja,vastu,siin,Eestis,1960.
252,,LOC,küll,",",et,venelane,ja,vene,kultuur,ei,ole,ju,sama
253,,LOC,ja,Tallinna,",",võiks,korraldada,vene,lastele,eestikeelseid,suvelaagreid,.,Maimu
254,,LOC,igaüks,võib,ka,oma,“,Euroopa,”,eest,leida,-,nagu
255,,ORG,Ta,luges,seda,jalustrabavat,uudist,Õhtulehe,artiklist,",",mille,tuttavad,tema
