,Lemma,Tag
197,aeg,
198,mil,
199,linn,
200,.,
201,kütmine,
202,auto,
203,andma,
204,kindlasti,
205,osa,
206,”,
207,Kõrvits,PER
208,keskkonnaametnik,
209,ei,
210,ametnik,
211,keskkonnakaitsja,
212,imejõud,
213,õhk,
214,.,
215,vaid,
216,kasv,
217,",",
218,liiklus,
219,ning,
220,keskkonnasäästlik,
221,osa,
222,.,
223,igaüks,
224,iga,
225,mõtlema,
226,kas,
227,äkki,
228,jalgratas,
229,ühissõiduk,
230,hoopis,
231,veidi,
232,",",
233,nentima,
234,Kõrvits,PER
235,politsei,
236,pätiplaan,
237,.,
238,pahandama,
239,et,
240,avalikustama,
241,asutusesisene,
242,mõeldud,
243,avastamine,
244,.,
245,põhi politseiprefektuur,ORG
246,tegeldud,
247,etteplaneerimine,
248,teatama,
249,justiitsministeerium,ORG
250,Delfi,ORG
251,avalikustamine,
252,politsei,
253,üllatus,
254,sest,
255,sisu,
256,olema,
257,lööma,
258,“,
259,kasutamine,
260,",",
261,Eesti Päevaleht,ORG
262,“,
263,leping,
264,tunduma,
265,et,
266,viga,
267,olnud,
268,",",
269,olema,
270,ajama,
271,ja,
272,selgitama,
273,”,
274,justiitsministeerium,
275,asekantsler,
276,juhtiv,
277,Margus Kurm,PER
278,riik,
279,Robert Antropov,PER
280,põhi,
281,Raivo Küüd,PER
282,see,
283,sõlmima,
284,märkima,
285,et,
286,eelmine,
287,avastama,
288,grupiviisiline,
289,",",
290,tänavu,
291,tema,
292,avastama,
293,põhi,
294,pidama,
295,taotlema,
296,kohaldama,
297,rohkem,
298,narkokurjategija,
299,.,
300,punkt,
301,ka,
302,aasta,
303,.,
304,politsei,
305,aasta,
306,umbes,
307,kriminaalasi,
308,mina,
309,",",
310,mina,
311,muutuma,
312,aasta,
313,tõhusam,
314,”,
315,eesmärk,
316,Antropov,PER
317,“,
318,pidama,
319,avastamine,
320,kasvama,
321,pidama,
322,kinni,
323,senine,
324,roolijoodik,
325,narkosuurdiiler,
326,”,
327,Margus Leivo,PER
328,olema,
329,alluv,
330,tulemusleping,
331,justiitsminister,
332,Ken-Mart Vaherile,PER
333,prokuratuur,
334,võrreldav,
335,“,
336,ikka,
337,personaalia,
338,mõõdik,
339,”,
340,Leivo,PER
341,“,
342,erinema,
343,suundumus,
344,olema,
345,administratiivne,
346,kaupa,
347,”,
348,olema,
349,kodulehekülg,
350,",",
351,kõigepealt,
352,politsei,
353,tulemusleping,
354,",",
355,ning,
356,prefektuur,
357,ning,
358,sõlmima,
359,omakorda,
360,tema,
361,piirkondlik,
362,juht,
363,mees,
364,ülekäigurada,
365,alla,
366,keskealine,
367,jääma,
368,Tallinn,LOC
369,ülekäigurada,
370,alla,
371,saama,
372,.,
373,Klenski,PER
374,Laar,PER
375,uputamine,
376,parvlaev,
377,uppumine,
378,tollane,
379,Mart Laar,PER
380,saamatult,
381,visiir,
382,et,
383,lahti,
384,",",
385,Dimitri Klenski,PER
386,.,
387,Klenski,PER
388,",",
389,üsna,
390,see,
391,mis,
392,Rootsi,LOC
393,",",
394,mina,
395,juba,
396,aasta,
397,.,
398,pretendeerimata,
399,tõde,
400,",",
401,püstitama,
402,",",
403,tutvustama,
404,Eesti vabariik,LOC
405,leitnant,
406,Tiit Uustalu .,PER
407,uustalu,PER
408,vedama,
409,salakaup,
410,Rootsi,LOC
411,Venemaa,LOC
412,strateegiline,
413,.,
414,see,
415,omanik,
416,firma,
417,mis,
418,üle,
419,kuuluma,
420,Rootsi riik,LOC
421,see,
422,vastu,
423,oma,
424,ka,
425,Eesti kaitseministeerium,ORG
426,mis,
427,korrus,
428,rääkima,
429,inglise,
430,”,
431,teadaolevalt,
432,too,
433,mina,
434,kohalekomandeeritu,
435,",",
436,nentima,
437,Klenski,PER
438,parvlaev,
439,aga,
440,laadung,
441,",",
442,laev,
443,Stockholm,LOC
444,tekitama,
445,skandaal,
446,võima,
447,Rootsi riik,LOC
448,langus,
449,kirjutama,
450,Klenski,PER
451,seejärel,
452,Stockholm,LOC
453,tollane,
454,Eesti,LOC
455,Mart Laarile,PER
456,see,
457,olema,
458,parvlaev,
459,tormine,
460,.,
461,leitnant,
462,uustalu,PER
463,",",
464,kaitsejõud,
465,olema,
466,kaks-kolm,
467,enne,
468,tegema,
469,peaminister,
470,Laar,PER
471,Estonia,
472,",",
473,kirjutama,
474,Klenski,PER
475,„,
476,Laar,PER
477,kategooriliselt,
478,viskamine,
479,.,
480,otsustama,
481,.,
482,keegi,
483,osanud,
484,",",
485,täiskäik,
486,laev,
487,visiir,
488,tormine,
489,hirmus,
490,lahti,
491,vesi,
492,autotekk,
493,laev,
494,uppuma,
495,”,
496,Estonia,
497,1994.,
498,28.,
499,tormine,
500,Balt meri,LOC
501,Tallinn,LOC
502,Stockholm,LOC
503,viies,
504,ise,
505,haud,
506,inimelu,
507,Vene,LOC
508,võima,
509,Gruusia,LOC
510,.,
511,Venemaa,LOC
512,alustama,
513,väljaviimine,
514,Gruusia,LOC
515,aasta,
516,teatama,
517,Sergei Lavrov,PER
518,pärast,
519,oma,
520,gruusia,LOC
521,.,
522,Lavrov,PER
523,",",
524,kaks,
525,välisminister,
526,saavutama,
527,edasiminek,
528,vene,LOC
529,Gruusia,LOC
530,osas,
531,vahendama,
532,ETV,ORG
533,uudis,
534,Lavrov,PER
535,jõudma,
536,",",
537,vägi,
538,olema,
539,ning,
540,lõplik,
541,saavutamine,
542,see,
543,.,
544,vene,LOC
545,väljaviimine,
546,algama,
547,aasta,
548,seni,
549,gruusia,LOC
550,väljaviimine,
551,tähtaeg,
552,Venemaa,LOC
553,ei,
554,lahkuma,
555,kaheksa,
556,.,
557,olema,
558,Gruusia,LOC
559,Batumi,LOC
560,"2,5",
561,mees,
562,74,
563,",",
564,soomuk,
565,120,
566,",",
567,Ahhalkalk,LOC
568,2,
569,mees,
570,40,
571,",",
572,soomuk,
573,50,
574,.,
575,varustama,
576,Gruusia,LOC
577,Armeenia,LOC
578,Gjurm,LOC
579,3000meheline,
580,Vene,LOC
581,.,
582,kaklus,
583,oksmaa,LOC
584,.,
585,see,
586,käima,
587,action-film,
588,”,
589,Arnold oksmaa,PER
590,sl Õhtulehele,ORG
591,.,
592,kes,
593,jääma,
594,see,
595,",",
596,meenutama,
597,saatebänd,
598,Maarika,PER
599,„,
600,lendama,
601,aken,
602,sisse,
603,naised-mees,
604,kõik,
605,!,
606,esmalt,
607,üks,
608,kokakoolapudel,
609,vahelt,
610,",",
611,aga,
612,taara,
613,tee,
614,ja,
615,üks,
616,taga,
617,kaak,
618,-,
619,baar,
620,lööma,
621,leidma,
622,„,
623,neli,
624,jooksul,
625,mis,
626,olema,
627,olnud,
628,olema,
629,hull,
630,veel,
631,",",
632,leidma,
633,oksmaa,PER
634,tema,
635,pagema,
636,teine,
637,köök,
638,süldipunt,ORG
639,Maarika Jurton,PER
640,rüselus,
641,vastu,
642,.,
643,väike,
644,tulema,
645,küljest,
646,”,
647,tegema,
648,ise,
649,suur,
650,.,
651,paluma,
652,et,
653,eest,
654,ära,
655,pill,
656,lööma,
657,tema,
658,:,
659,mina,
660,puutuma,
661,”,
662,kirjeldama,
663,ehtne,
664,:,
665,lai,
666,",",
667,",",
668,.,
669,olema,
670,ja,
671,.,
672,võima,
673,23,
674,24,
675,aga,
676,olema,
677,nolk,
678,rääkima,
679,keel,
680,”,
681,Isamaaliit,ORG
682,9.,
683,pidustus,
684,Tallinn,LOC
685,kavandatav,
686,mai,
687,ei,
688,kokku,
689,väärtus,
690,eestlane,
691,",",
692,Isamaaliit,ORG
693,sõjaveteran,
694,Tallinn,LOC
695,näitama,
696,",",
697,pronkssõdur,
698,asukoht,
699,vene,
700,vahetult,
701,Eesti vabariik,LOC
702,teatama,
703,meedia,
704,avaldus,
705,„,
706,ees,
707,iga-aastane,
708,kord,
709,ei,
710,ainult,
711,eneseväärikus,
712,vaid,
713,omamoodi,
714,sümbol,
715,",",
716,seadma,
717,Eesti,LOC
718,järjepidevus,
719,Tartu,LOC
720,kahtlus,
721,",",
722,leidma,
723,.,
724,Isamaaliit,ORG
725,ka,
726,seisukoht,
727,et,
728,maa,
729,tohtima,
730,mingi,
731,Eesti,LOC
732,muutmine,
733,",",
734,tingimus,
735,kus,
736,Venemaa,LOC
737,Putin,PER
738,tagasi,
739,täis,
740,",",
741,Eesti,LOC
742,kallal,
743,pandud,
744,.,
745,Isamaaliit,ORG
746,seisukoht,
747,et,
748,kui,
749,saama,
750,Venemaa,LOC
751,Eesti,LOC
752,muutmine,
753,",",
754,Venemaa,LOC
755,loobuma,
756,vaenav,
757,.,
758,ootama,
759,Venemaa,LOC
760,okupatsioonikahi,
761,ning,
762,tagasi,
763,",",
764,Venemaa,LOC
765,Eesti,LOC
766,röövima,
767,mis,
768,olema,
769,igikestev,
770,.,
771,Pikaro,PER
772,abipolitseinik,
773,Purjet,LOC
774,.,
775,Koit Pikaro,PER
776,",",
777,esmaspäev,
778,jalg,
779,abipolitseinik,
780,Andrus Purje,PER
781,ühiskond,
782,ning,
783,olema,
784,kahtlustatav,
785,pidama,
786,“,
787,ette,
788,kui,
789,abipolitseinik,
790,suukorv,
791,patrull,
792,",",
793,hüüatama,
794,Pikaro,PER
795,kes,
796,puuduma,
797,vajadus,
798,",",
799,Postimees,ORG
800,Pikaro,PER
801,võtma,
802,ka,
803,välja,
804,ähvardama,
805,käsi,
806,panema,
807,kui,
808,kaasas,
809,tütar,
810,peale,
811,hakkama,
812,tegema,
813,ettepanek,
814,peale,
815,kodu,
816,arutama,
817,kuid,
818,võtma,
819,ja,
820,.,
821,juht,
822,Läti,LOC
823,.,
824,Läti,LOC
825,Eesti,LOC
826,sõidutama,
827,rool,
828,purjus,
829,.,
830,hommik,
831,Ikla-Ainaž,LOC
832,sõiduk,
833,piirivalvur,
834,Läti,LOC
835,Neoplan,
836,Aigars Dzjubo,PER
837,.,
838,joove,
839,ka,
840,",",
841,bussijuht,
842,nõus,
843,tema,
844,Pärnu,LOC
845,toimetama,
846,kirjutama,
847,Pärnu Postimees,ORG
848,kolm,
849,hiljem,
850,Pärnu,LOC
851,proov,
852,joove,
853,vaid,
854,promill,
855,Poola,LOC
856,saama,
857,riigijuht,
858,Poola,LOC
859,peagi,
860,üsna,
861,liider,
862,nimelt,
863,riik,
864,ja,
865,ühemunakaksik,
866,Vend Lech,PER
867,Jaroslaw Kaczynsk,PER
868,pool,
869,enne,
870,arvamusküsitlus,
871,vahendama,
872,PM Online BBC,ORG
873,.,
874,Lech,PER
875,Varssavi,LOC
876,",",
877,Jaroslaw,PER
878,juhtima,
879,Poola,LOC
880,",",
881,partei,
882,55aastane,
883,olema,
884,käima,
885,elu,
886,lapsepõli,
887,“,
888,poisike,
889,film,
890,kooliaeg,
891,tegema,
892,eest,
893,.,
894,tundma,
895,karmisõnaline,
896,poolest,
897,ja,
898,aadress,
899,segadus,
900,hoiduma,
901,koos,
902,ette,
903,.,
904,roll,
905,tema,
906,ei,
907,",",
908,Lechil,PER
909,põsk,
910,nina,
911,kaks,
912,.,
913,Vilnius,LOC
914,CNN,ORG
915,saama,
916,Vilnius,LOC
917,ja,
918,linnapea,
919,liberaal,
920,Arturas Zuokas,PER
921,",",
922,Vilnius,LOC
923,edastama,
924,rahvusvaheline,
925,.,
926,Zuokas,PER
927,tema,
928,pidama,
929,läbirääkimine,
930,Cable News Network,ORG
931,CNN,ORG
932,ja,
933,Independent Television News,ORG
934,ITN,ORG
935,",",
936,Euroopa,LOC
937,tema,
938,ilmuma,
939,Vilnius,LOC
940,kesk,LOC
941,ja,
942,Ida-Euroobas,LOC
943,",",
944,see,
945,näitama,
946,märgitud,
947,Minsk,LOC
948,Varssavi,LOC
949,veel,
950,pealinn,
951,Leedu,LOC
952,Lietuvos Ryta,ORG
953,",",
954,ilmateade,
955,rida,
956,Zuokas,PER
957,ka,
958,Vilnius,LOC
959,.,
960,mina,
961,",",
962,ITN,ORG
963,kergem,
964,leppima,
965,kuna,
966,tegema,
967,kanal,
968,.,
969,ka,
970,CNN,ORG
971,meel,
972,",",
973,see,
974,olema,
975,mina,
976,",",
977,ütlema,
978,Vilnius,LOC
979,oma,
980,.,
981,1990,
982,1993,
983,Zuokas,PER
984,ITN,ORG
985,Iraak,LOC
986,linnapea,
987,esitama,
988,palve,
989,BBC,ORG
990,teine,
991,telekanal,
992,“,
993,hiljuti,
994,Pariis,LOC
995,Euroopa,LOC
996,linnapea,
997,ja,
998,.,
999,olema,
1000,üllatuma,
1001,kuulma,
1002,et,
1003,iga,
1004,tema,
1005,",",
1006,Vilnius,LOC
1007,Leedu,LOC
1008,.,
1009,aeg,
1010,Riia,ORG
1011,Tallinn,LOC
1012,.,
1013,",",
1014,see,
1015,teisiti,
1016,”,
1017,Zuokas,PER
1018,Vilnius,LOC
1019,olema,
1020,pöörduma,
1021,Lufthansa,ORG
1022,British Airways,ORG
1023,SAS,ORG
1024,palve,
1025,Vilnius,LOC
1026,lendav,
1027,Leedu,LOC
1028,tutvustav,
1029,.,
1030,rahvusvaheline,
1031,ei,
1032,Zuokas,PER
1033,katse,
1034,Vilnius,LOC
1035,.,
1036,saatma,
1037,kiri,
1038,Austria,LOC
1039,Prantsusmaa,LOC
1040,Suurbritannia,LOC
1041,USA,LOC
1042,kasiino,
1043,",",
1044,see,
1045,Vilnius,LOC
1046,et,
1047,hinnang,
1048,ning,
1049,sobiv,
1050,mängupõrgu,
1051,.,
1052,Zuokas,PER
1053,samm,
1054,olema,
1055,",",
1056,valitsus,
1057,hiljuti,
1058,kinnitamine,
1059,",",
1060,nägema,
1061,hasartmäng,
1062,.,
1063,Zimbabwe,LOC
1064,Kambodža,LOC
1065,Pol Poti,PER
1066,Uus-Meremaa,LOC
1067,Phil Goff,PER
1068,Robert Mugabe,PER
1069,Zimbabwe,LOC
1070,Pol Poti,PER
1071,Kambodža,LOC
1072,terrorirežiim,
1073,Goff,PER
1074,oma,
1075,teisipäev,
1076,üritama,
1077,oma,
1078,kriketimeeskond,
1079,planeerima,
1080,Zimbabwe,LOC
1081,teatama,
1082,CNN .,ORG
1083,Uus-Meremaa,LOC
1084,sõna,
1085,tänapäev,
1086,Zimbabwe,LOC
1087,esimene,
1088,algama,
1089,Pol Poti,PER
1090,nägema,
1091,ajamine,
1092,maa,
1093,kus,
1094,pidama,
1095,lage,
1096,all,
1097,tema,
1098,ära,
1099,kõik,
1100,ja,
1101,",",
1102,mina,
1103,iga,
1104,inimene,
1105,.,
1106,alates,
1107,aasta,
1108,olnud,
1109,Mugabe,PER
1110,alustama,
1111,sõna,
1112,kuritegevus,
1113,haigus,
1114,seadusetus,
1115,linn,
1116,see,
1117,hävitama,
1118,linnaosa,
1119,ajataks,
1120,vägisi,
1121,laiali,
1122,punakhmeer,
1123,ajal,
1124,viima,
1125,vägivald,
1126,elu,
1127,linn,
1128,ühiskond,
1129,kus,
1130,inimene,
1131,põlluharija,
1132,Zimbabwe,LOC
1133,kinnitus,
1134,vaene,
1135,",",
1136,just,
1137,olema,
1138,valitsus,
1139,suurem,
1140,toetuma,
1141,kõige,
1142,.,
1143,olema,
1144,19.,
1145,hävitama,
1146,kümme,
1147,hütt,
1148,putkama,
1149,linna-ala,
1150,peenar,
1151,mis,
1152,toidupuudus,
1153,zimbabvelas,
1154,elatisallikas,
1155,hinnanguliselt,
1156,kampaania,
1157,kuni,
1158,miljon,
1159,",",
1160,sõna,
1161,120000,
1162,.,
1163,ründama,
1164,Mulgimaa,LOC
1165,naine,
1166,Viljandimaa,LOC
1167,Tarvastu vald,LOC
1168,käest,
1169,",",
1170,tema,
1171,pea,
1172,ehe,
1173,reede,
1174,politsei,
1175,Valgamaa,LOC
1176,naine,
1177,kes,
1178,",",
1179,paar,
1180,varem,
1181,tema,
1182,Viljandimaa,LOC
1183,Tarvastu vald,LOC
1184,ääres,
1185,mustlane,
1186,1000,
1187,eest,
1188,kuldsõrmus,
1189,mis,
1190,kontrollimine,
1191,vaskne,
1192,teatama,
1193,Delfi Lõuna politsei,ORG
1194,.,
1195,varem,
1196,ohver,
1197,pöördumine,
1198,politsei,
1199,Pärnumaa,LOC
1200,neli,
1201,",",
1202,tegelema,
1203,petutöö,
1204,teade,
1205,juhtum,
1206,olema,
1207,ka,
1208,Saaremaa,LOC
1209,Järvamaa,LOC
1210,allikas,
1211,viima,
1212,USA,LOC
1213,vang,
1214,Ühendriik,LOC
1215,saatma,
1216,taha,
1217,New York Times,ORG
1218,Judith Miller,PER
1219,kes,
1220,avaldama,
1221,infoallikas,
1222,.,
1223,Miller,PER
1224,oma,
1225,kohus,
1226,",",
1227,ei,
1228,murdma,
1229,allikas,
1230,lubadus,
1231,vahendama,
1232,PM Online New York Times,ORG
1233,.,
1234,kui,
1235,ei,
1236,enam,
1237,usaldama,
1238,siis,
1239,olema,
1240,vaba,
1241,",",
1242,põhjendama,
1243,kohus,
1244,.,
1245,tegema,
1246,USA,LOC
1247,CIA,ORG
1248,kohta,
1249,kuid,
1250,see,
1251,ei,
1252,kunagi,
1253,seetõttu,
1254,ka,
1255,teadma,
1256,mis,
1257,kohtuasi,
1258,.,
1259,CIA,ORG
1260,ajakirjanik,
1261,koostöö,
1262,”,
1263,New York Times,ORG
1264,olema,
1265,kõige,
1266,vastuolu,
1267,ja,
1268,vahel,
1269,1971.,
1270,.,
1271,hukkuma,
1272,inimene,
1273,täiend,
1274,Naissaar,LOC
1275,kukkuma,
1276,kell,
1277,aeg,
1278,Copterline,ORG
1279,14,
1280,parras,
1281,kõik,
1282,olnud,
1283,.,
1284,Andrus Ansip,PER
1285,olema,
1286,põhjus,
1287,",",
1288,kopterivrakk,
1289,ellujäänu,
1290,tema,
1291,kaastunne,
1292,.,
1293,ka,
1294,arvama,
1295,et,
1296,olema,
1297,mingi,
1298,",",
1299,tema,
1300,.,
1301,Ansip,PER
1302,ei,
1303,katastroof,
1304,olema,
1305,",",
1306,õnnetus,
1307,puhuma,
1308,vaid,
1309,/,
1310,.,
1311,asjaolu,
1312,olema,
1313,majandus - ja kommunikatsiooniministeerium,ORG
1314,komisjon,
1315,Komisjon,
1316,koosolek,
1317,kolmapäev,
1318,.,
1319,Komisjon,ORG
1320,Tõnu Ader,PER
1321,saama,
1322,alustama,
1323,kohe,
1324,kopter,
1325,.,
1326,Copterline,ORG
1327,liige,
1328,Tõnis Lepp,PER
1329,",",
1330,õnnetus,
1331,olema,
1332,teadma,
1333,“,
1334,põhjus,
1335,kolm,
1336,halb,
1337,",",
1338,ning,
1339,rike,
1340,”,
1341,Nelonen Lepa,PER
1342,.,
1343,päästeamet,ORG
1344,Mati Raidma,PER
1345,olema,
1346,kohale,
1347,kopter,
1348,vesi,
1349,",",
1350,vajuma,
1351,vesi,
1352,.,
1353,mina,
1354,leidma,
1355,",",
1356,tükk,
1357,”,
1358,tema,
1359,AP,ORG
1360,Raidma,PER
1361,otsima,
1362,inimene,
1363,-,
1364,meeter,
1365,.,
1366,ilmselt,
1367,kokkupõrge,
1368,väga,
1369,",",
1370,ütlema,
1371,Raidma,PER
1372,Naissaar,LOC
1373,umbes,
1374,meremiil,
1375,Viimsi poolsaar,LOC
1376,kukunud,
1377,olema,
1378,soomlane,
1379,neli,
1380,ning,
1381,USA,LOC
1382,.,
1383,piloot,
1384,soomlane,
1385,üks,
1386,41,
1387,ning,
1388,57aastane,
1389,soomlane,
1390,olema,
1391,mees,
1392,üks,
1393,.,
1394,olema,
1395,kopter,
1396,olnud,
1397,Eesti,LOC
1398,lähedane,
1399,võtma,
1400,Copterline,ORG
1401,kohaselt,
1402,kopter,
1403,järgmine,
1404,Eesti,LOC
1405,:,
1406,Liisa,PER
1407,s,
1408,),
1409,Carolina,PER
1410,s,
1411,),
1412,Ruta,PER
1413,s,
1414,),
1415,Kristel,PER
1416,s,
1417,),
1418,kanal,ORG
1419,reporter,
1420,olema,
1421,Carolina Kremetski,PER
1422,Liisa Suster,PER
1423,ärimees,
1424,Oliver Kruuda,PER
1425,Ruta Kruuda,PER
1426,õde,
1427,Kristel Soll,PER
1428,Helsingi,LOC
1429,olnud,
1430,väljuma,
1431,Tallinn,LOC
1432,.,
1433,katkema,
1434,helikopter,
1435,12.43,
1436,kolm,
1437,pärast,
1438,.,
1439,lennuteenindus AS,ORG
1440,liige,
1441,Tanel Rautits,PER
1442,tema,
1443,hädasignaal,
1444,kukkuma,
1445,ei,
1446,.,
1447,piirivalveamet,ORG
1448,ütlema,
1449,et,
1450,olema,
1451,vesi,
1452,",",
1453,peal,
1454,tiivik,
1455,õlilaik,
1456,aga,
1457,olema,
1458,kopter,
1459,AS Eesti Loots,ORG
1460,laev,
1461,esimene,
1462,kes,
1463,jõudma,
1464,lootsilaev,
1465,olev,
1466,ütlema,
1467,et,
1468,üks,
1469,tükk,
1470,aga,
1471,täpselt,
1472,",",
1473,olema,
1474,",",
1475,EPL Online,ORG
1476,Tõnis Lepp,PER
1477,Eesti Päevaleht,ORG
1478,et,
1479,parameeter,
1480,ei,
1481,pidama,
1482,uppuma,
1483,sest,
1484,olema,
1485,pontoon,
1486,kere,
1487,veekindel,
1488,lisa,
1489,reisija,
1490,.,
1491,päästeamet,ORG
1492,Alo Tammsalu,PER
1493,Äripäev Online,ORG
1494,et,
1495,juhtuma,
1496,nägema,
1497,üks,
1498,",",
1499,samuti,
1500,õnnetus,
1501,naissaar,LOC
1502,olev,
1503,ütlema,
1504,Äripäev Online,ORG
1505,et,
1506,piirivalve,
1507,olema,
1508,kukkuma,
1509,meri,
1510,kuid,
1511,see,
1512,olema,
1513,mees,
1514,kukkuma,
1515,meri,
1516,poi,
1517,",",
1518,naissaar,LOC
1519,kopteriõnnetus,
1520,algatama,
1521,",",
1522,Delfi,ORG
1523,.,
1524,alustama,
1525,ja,
1526,käitusnõue,
1527,paragrahv,
1528,.,
1529,Tõnis Lepp,PER
1530,“,
1531,kaamera,
1532,",",
1533,üldiselt,
1534,kopteriõnnetus,
1535,reisija,
1536,suur,
1537,",",
1538,kahjuks,
1539,teadma,
1540,milline,
1541,staadium,
1542,alla,
1543,.,
1544,Copterline,ORG
1545,hooldus,
1546,Soome,LOC
1547,mitte,
1548,Eesti,LOC
1549,kinnitama,
1550,Lepp,PER
1551,aktuaalne,
1552,”,
1553,et,
1554,Soome,LOC
1555,hoolsus,
1556,pealt,
1557,süda,
1558,.,
1559,Eesti Raadio,ORG
1560,ei,
1561,kopter,
1562,mingi,
1563,töö,
1564,Soome lennuturvalisusamet,ORG
1565,olema,
1566,Copterline,ORG
1567,väljaõpe,
1568,oskus,
1569,",",
1570,võima,
1571,lennuturvalisus,
1572,ilm,
1573,oht,
1574,helikopter,
1575,lendama,
1576,hea,
1577,",",
1578,YLE,ORG
1579,Copterline,PER
1580,olema,
1581,kukkuma,
1582,piloot,
1583,väljaõpe,
1584,kogema,
1585,.,
1586,kopter,
1587,reisija,
1588,saama,
1589,1345.,
1590,Tallinn,LOC
1591,teade,
1592,Tallinn,LOC
1593,psühholoogiline,
1594,telefon,
1595,.,
1596,Soome,LOC
1597,kuuluv,
1598,Copterline,ORG
1599,regulaarlend,
1600,Tallinna-Helsink,LOC
1601,2000.,
1602,maa,
1603,TV3 Seitsmene,ORG
1604,erisaade,
1605,Edelaraudtee,ORG
1606,piletihind,
1607,.,
1608,Edelaraudtee,ORG
1609,see,
1610,",",
1611,tõstma,
1612,hind,
1613,viiendik,
1614,",",
1615,võima,
1616,jõud,
1617,palju,
1618,reisija,
1619,kes,
1620,hind,
1621,rong,
1622,eelistama,
1623,tee - ja sideministeerium,ORG
1624,Kuldar Väärs,PER
1625,olema,
1626,jutt,
1627,20protsendiline,
1628,.,
1629,riik,
1630,moodustama,
1631,protsent,
1632,ja,
1633,osa,
1634,suurendama,
1635,saama,
1636,”,
1637,Väärsi,PER
1638,Eesti Päevaleht,ORG
1639,Edelaraudtee,ORG
1640,direktor,
1641,Kalvi Puka,PER
1642,",",
1643,hinnatõus,
1644,eelkõige,
1645,.,
1646,olema,
1647,tõus,
1648,",",
1649,olema,
1650,",",
1651,ütlema,
1652,.,
1653,nädal,
1654,selguma,
1655,kas,
1656,tulema,
1657,”,
1658,Puka,PER
1659,",",
1660,piletihind,
1661,viiendik,
1662,olema,
1663,järsk,
1664,“,
1665,konkurents,
1666,liiklusvahend,
1667,saama,
1668,nii,
1669,tõstma,
1670,”,
1671,tema,
1672,praegu,
1673,Tallinna-Tartu,LOC
1674,kiirrong,
1675,kroon,
1676,tavaline,
1677,70,
1678,.,
1679,sooduspilet,
1680,aga,
1681,ja,
1682,kroon,
1683,õpilane,
1684,olema,
1685,protsent,
1686,eriti,
1687,kasutama,
1688,just,
1689,sõitja,
1690,kes,
1691,bussisõit,
1692,liiga,
1693,.,
1694,-,
1695,sideminister,
