,pred,hypothesis,i-5,i-4,i-3,i-2,i-1,i,i+1,i+2,i+3,i+4,i+5
19,,LOC,teiste,kirjanike,loomingut,",",mida,nõukogude,võimu,ajal,ei,peetud,otstarbekaks
20,LOC,ORG,mõtlemisvõime,tunduvalt,langenud,.,Möödunudnädalases,EEs,kirjutas,Liisa,Pakosta,",",et
21,PER,LOC,Salakõrts,",",õllepidu,",",Club,Hollywood,",",Tallinn,DJ,Indrek,Parts
22,PER,LOC,",",TOP,40,",",Club,Hollywood,",",Tallinn,L,",",10.
23,,LOC,hea,...,",",Lossihoov,",",Kuressaare,kl,2100,2,Quick,Start
24,PER,LOC,päev,:,Salakõrts,",",Club,Hollywood,",",Tallinn,Noisy,Nation,","
25,,ORG,Võsu,P,",",11.,august,EM,Trio,ESTO,päevade,jazz-kontsert,","
26,,PER,",",Lauluväljak,",",Toila,DJ,Aivar,Havi,ESTO,',96,3.
27,PER,LOC,",",Retrohõnguline,õhtu,",",Club,Hollywood,",",Tallinn,E,",",12.
28,PER,LOC,Hirmo,Suvine,esmaspäev,",",Club,Hollywood,",",Tallinn,T,",",13.
29,PER,LOC,Havi,Tuline,teisipäev,",",Club,Hollywood,",",Tallinn,K,",",14.
30,,ORG,",",Club,Hollywood,",",Tallinn,K,",",14.,august,Aleksander,Müller
31,PER,LOC,Raudsepp,Vinyl,Junk,",",Club,Hollywood,",",Tallinn,N,",",15.
32,PER,LOC,Üliõpilasõhtu,:,Õllepidu,",",Club,Hollywood,",",Tallinn,DJ,Kristian,Niidas
33,,PER,filmis,“,Operatsioon,“,Murtud,Nool,”,”,kehastatud,psühhopaadiga,on
34,,ORG,mina,kisun,need,pinnale,.,I,don't,give,a,damn,.
35,,ORG,piletiga,ning,piletita,vaatajate,",",I,ja,II,sordi,inimeste,vahel
36,,LOC,parem,rääkidagi,.,Need,olid,nõukogude,ajastu,auastmed,",",mälestused,ühiskonnast
37,,ORG,Silvese,endine,kaastööline,T,.,K,.,(,Eesti,Ekspressile,kommentaare
38,,ORG,endine,lähedane,kaastööline,T,.,K,.,aega,",",mil,metallikuninganna
39,,ORG,oma,endist,ülemust,T,.,K,.,Neli,aastat,jutti,rääkis
40,,ORG,tütarettevõtetega,koos,"107,8",miljonit,.,EE,tundis,huvi,",",kellele,need
41,ORG,PER,",",Andres,Saame,",",Olari,Taal,ja,Hannes,Tamjärv,.,Täna
42,,ORG,aktsiast,.,Võibolla,rohkemgi,.,EE,luges,hansagrupi,sekka,ülalmainitud,härrad
43,,ORG,ehk,"22,6",protsenti,aktsiapakist,.,EE,pakub,",",et,ka,nende
44,,ORG,ja,Tamjärve,omal,21,protsenti,Hoiupangast,!,Esindatud,olid,pea,kõik
45,,ORG,pärit,H. Goldwitz,454 000,aktsiaga,.,EE,meelest,kuulub,osa,neist,firmadest
46,,LOC,kirjust,seltskonnast,tasub,märkida,kuulsat,Londoni,väärtpaberivahendajat,Societe,Generale,Equities,ning
47,,ORG,",",eelistab,Vunk,vaikida,.,EE,oletab,",",et,just,Vunk
48,,PER,ütleb,noorem,daam,(,Lii,Unt,),.,Ega,siin,ussa
49,,ORG,seisu,korral,ka,Koonderakond,.,Koonderakonna,kolmas,varumees,rektor,Peeter,Tulviste
50,LOC,PER,.,Savisaar,saab,otsustavaks,Parteiliidritel,Kallasel,",",Tarandil,ja,Vähil,pole
51,,PER,Parteiliidritel,Kallasel,",",Tarandil,ja,Vähil,pole,ilmselt,Kadrioru,lossi,asja
52,LOC,PER,ilma,peata,",",Koonderakond,laguneks,Vähi,presidendiks,saades,mitmeks,tükiks,ning
53,,PER,raske,ära,öelda,Koonderakonnal,eesotsas,Vähiga,",",kelle,president,on,mitmel
54,LOC,ORG,.,Rüütel,hakkas,looma,endale,Kadriorus,uut,",",sõltumatu,riigimehe,imidzhit
55,,ORG,ei,saanud,Rüütlist,aru,.,Kremli,seinte,vahel,toimus,kahe,kurdi
56,,LOC,Rüütli,aega,nagu,vana,head,Rootsi,aega,.,Aga,see,kõik
57,PER,LOC,Martini,",",Mihkli,ja,Mariaga,Eesti,vist,kõige,kaunimas,paigas,Matsalu
58,,LOC,ja,popmuusikat,.,Kas,siis,nõukogude,inimene,ei,seksinudki,?,Ühes
59,,LOC,lubasin,",",et,kirjutan,loo,nõukogude,köögist,.,Eriti,sai,mu
60,,LOC,laiune,Härjapea,jõesuu,",",“,Viru,”,hotelli,fuajees,sagisid,millimallikad
61,,ORG,green,with,mould,/,So,I,can,bearly,see,your,face
62,,LOC,plaadifirmade,huvi,juba,eos,.,Portugali,gothic,metali,grupp,võeti,Century
63,PER,LOC,Üliõpilasõhtu,:,Õllepidu,",",Club,Hollywood,",",Tallinn,DJ,Kristian,Niidas
64,ORG,LOC,Soome,/,",",Kiki,/,Berliin,/,",",Aivar,Tõnso,","
65,,LOC,meie,sügis,",",Lossihoov,",",Kuressaare,kl,2000,DJ,Kristjan,Hirmo
66,PER,LOC,Hirmo,Party,Zone,",",Club,Hollywood,",",Tallinn,Nancy,",",DJ
67,LOC,PER,",",Põlva,kl,2000,Deejay,Meri,",",DJ,Don,Lange,Vinyl
68,PER,LOC,Üliõpilasõhtu,:,õllepidu,",",Club,Hollywood,",",Tallinn,DJ,Raivo,Türi
69,,LOC,festivalil,",",Prantsuse,Naistefestivalil,ja,Londoni,Lesbi-,ja,Gayfestivalil,.,Ilusates
70,,ORG,Joala,sai,külge,hüüdnime,“,Kremli,ööbik,”,ja,Tõnis,Mägi
71,,PER,Woo,“,Operatsioon,“,Murtud,Nool,”,”,(,Broken,Arrow
72,,LOC,Pärast,“,Kasiino,”,esilinastust,Londoni,festivali,lõpuõhtul,mullu,novembris,andis
73,,PER,Jutu,pealkirjastas,Ian,Christie,“,Martin,Scorsese,testament,”,",",pidades
74,,PER,Pictures,1995,),Lavastaja,:,Martin,Scorsese,Stsenaristid,:,Martin,Scorsese
75,,LOC,”,(,Spy,Hard,.,Hollywood,Pictures,",",1996.,Komöödia,.
76,,LOC,”,(,The,Rock,.,Hollywood,Pictures,",",1996.,Action-film,.
77,,LOC,”,(,Spy,Hard,.,Hollywood,Pictures,",",1996.,Komöödia,.
78,,LOC,”,(,The,Rock,.,Hollywood,Pictures,",",1996.,Action-film,.
79,,LOC,oma,harjumuspärast,tööd,.,“,Viru,”,hotelli,kohvikus,EEga,mahla
80,,LOC,vanaemad,käisid,tööl,ka,kogu,nõukogude,aja,ja,käivad,siiani,.
81,,LOC,retoorikas,nimetatakse,-,kehtib,Eestis,nõukogude,ajast,ehk,aastast,1955.,Mida
82,,LOC,need,edukad,eesti,daamid,võtnud,nõukogude,ajal,naistele,loodud,(,feministlikest
83,,LOC,eristabki,naiste,emantsipatsiooni,Läänes,selle,nõukogude,variandist,.,Nõukogude,naise,vabadused
84,,LOC,üks,inimsõbralikest,pinnavirvendustest,",",mida,nõukogude,ühiskond,viljeles,.,Niisuguses,vastuolus
85,,ORG,maa-alal,tegutsemise,õiguse,TSM,Investeeringute,ASile,",",mille,omanikke,on,raske
86,,LOC,kuid,vaevalt,õnnestub,sel,tiimil,nõukogude,ja,osaliselt,veel,tsaariajast,pärinevat
87,,ORG,ning,Eesti,Raudtee,muutumine,REst,ASiks,lükkub,edasi,.,Raudtee,haldusnõukogu
88,,LOC,juhib,omaaegne,NSV,Liidu,ministrite,nõukogu,esimees,Nikolai,Rõzhkov,.,Rozhoki
89,,LOC,Eestit,riigiduuma,juures,tegutsevas,kaasmaalaste,nõukogus,.,Pärast,“,Morozovi,koosolekut
90,,LOC,koera,nimega,.,Niipalju,siis,Balti,koostööst,.,Just,välispoliitika,on
91,,LOC,päevakava,ringi,teha,ja,nõustus,Balti,presidente,38,minutiks,vastu,võtma
92,PER,LOC,Keeleprobleemi,eesti,keelt,mittevaldav,Igor,Eesti,lavadel,ei,karda,:,“
93,,PER,tappa,anda,?,a.,Olari,Taal,b,.,Lennart,Meri,c
94,,ORG,minema,toimetada,soovijatega,b,.,maksuametiga,c,.,vähikarikatuuride,laine,vallandanud
95,LOC,ORG,istus,solvatud,Arnold,üksi,oma,Kadrioru,korteris,.,Aga,Lennart,eksis
96,,LOC,Sest,nii,",",nagu,õndsal,nõukogude,ajal,",",on,rahvusluse,kui
97,,PER,koostatud,lepingu,järgi,loobub,naine,Mõisa,nime,kasutamisest,",",kuid,säilitab
98,,LOC,missikarusselliga,liitumist,.,Tulemus,oli,Tallinna,Missi,ja,1991.,aasta,Miss
99,,ORG,Missi,ja,1991.,aasta,Miss,Estonia,konkursi,pressimissi,tiitel,.,Meenutab
100,,LOC,hinna,.,Siis,oli,veel,nõukogude,võim,",",kurat,!,”
101,ORG,LOC,Mobiiltelefon,",",kataloogiäri,AS,Telemedia,Eesti,),telekomiäris,monopoliseisund,või,liidrikoht
102,,LOC,Töösturite,tehtud,ettepanekutest,läks,Erastamisagentuuri,nõukogus,läbi,vaid,üks,:,poole
103,,LOC,keskliidu,liikmete,poolt,pole,Norma,nõukogu,esimehe,Jüri,Käo,sõnul,Veskivälja
104,,LOC,enamik,neist,õrnemast,soost,.,Vene,piigade,kamp,tuli,restorani,","
105,,ORG,kuidas,koerad,hauguvad,.,),Ee,...,See,ei,ole,minu
106,,LOC,",",”,räägib,Gerda,.,Portugali,keeles,on,Gerda,kirjutanud,kaks
107,,LOC,",",meenitab,oma,ohtrate,peeglitega,nõukogude,aega,.,Samas,ripuvad,laes
108,,ORG,korduvalt,vette,d,.,“,I,',m,Tsui,Hark,.
109,,ORG,',m,Tsui,Hark,.,I,',m,the,film,director
110,,ORG,m,the,film,director,.,I,',ve,made,several,films
111,,LOC,.,uinaku,c,.,kirus,Atlanta,olümpiamängude,kohtunikke,d,.,kitse
112,,LOC,Liina,Lukas,oma,saatesõnas,.,Balti,jah,",",sest,tegelased,on
113,,LOC,vürst,Volkonski,vestetud,Buniniga,.,Vene,romansse,laulavad,Heli,Vahing,ja
114,,LOC,kõik,ongi,õige,:,“,Nõmm,lõhnab,.,Kuum,tuhataoline,liiv
115,,LOC,popsi,mentaliteet,on,murtud,.,Briti,vaimu,sünnilava,on,taastatud,“
116,ORG,LOC,.,Ta,töötas,NSVL,Rahvasaadikute,Nõukogu,kongressi,arhitektuuri,ja,ehituse,komitees
117,,PER,.,ELi,komisjoni,välisasjade,volinik,Hans,van,den,Broek,ei,jäta
118,,LOC,Endel,Lippmaa,nõuanne,kõrgemate,ametnike,nõukogu,(,KAN,),poolt,korraldatud
119,ORG,PER,eestlane,Gunnar,Bendreus,on,Memento,Mare,ja,Memento,Estonia,liikmete,silmis
120,,ORG,mõtet,katastroofi,ajada,.,Memento,Estonia,esimees,Ander,Paeorg,:,“
121,,ORG,ka,laevafirmast,kaasa,antud,amatöörvideot,Estonia,visiirist,.,Selle,olla,teinud
122,,ORG,Selle,olla,teinud,keegi,reisija,Estonia,autotekilt,mõni,aeg,enne,traagilist
123,ORG,PER,DISi,juhatuse,liige,ja,Memento,Mare,esimees,Raivo,Hellermaa,.,Raivo
124,,LOC,soodushind,",",mis,kehtis,vaid,Balti,riikide,ja,Ida-Euroopa,riikide,kannatanutele
125,,ORG,DIS-i,esimehe,Gunnar,Bendreuse,arusaamatusi,maksuametiga,.,DIS-i,ülalpidamiseks,tuleb,raha
126,ORG,PER,Bendreusele,raha,saatsid,.,Memento,Mare,esimehe,Raivo,Hellermaa,ja,Memento
127,,ORG,hakkavad,hüvitisi,kätte,saama,ka,Estonial,hukkunud,meremeeste,omaksed,.,Selle
128,PER,ORG,Kohtun,“,Aurulaev,”,Taaliga,Hoiupanga,peamaja,nõupidamissaalis,.,Aknad,on
129,,ORG,Toivo,Ninnas,-,nimiväärtusega,950 000,Hoiupanga,aktsiat,.,Kas,ETEK,oli
130,,ORG,ja,mis,hinnaga,ta,oma,Hoiupanga,aktsiaid,Tööstuspanga,aktsionäridele,andis,.
131,,ORG,jätaks,kasutamata,eelisostuõiguse,oktoobrisse,planeeritud,Hoiupanga,aktsiaemissiooni,käigus,.,Mõnedel,andmetel
132,,ORG,“,Jajah,",",”,ohkab,Hoiupanga,juht,",",nagu,oleks,möödunud
133,,ORG,”,(,Taal,on,ka,Hoiupanga,väikeaktsionär,.,),Kahe,panga
134,,ORG,",",et,Hansapank,võib,oma,Hoiupanga,aktsiad,ära,müüa,",",kui
135,,ORG,saavuta,.,See,tooks,kaasa,Hoiupanga,aktsia,hinna,järsu,languse,.
136,,LOC,räägib,ajalimiidist,-,mitmest,punktist,nõukogu,päevakorras,ja,kahe,välismaalasest,nõukoguliikme
137,,ORG,katastroofilist,ei,olnud,.,”,Hoiupanga,juhtimisel,vallandati,kolmsada,Tööstuspanga,370
138,,ORG,Tiit,Vähile,-,M,.,K,.,),ja,teiselt,poolt
139,,ORG,enda,kanda,",",vabastades,nendest,Hoiupanga,?,”,“,See,on
140,,ORG,meelega,annaksime,me,ära,ka,Hoiupanga,halvad,laenud,",",kui,Eesti
141,,ORG,Eestis,arvatavasti,ühtegi,panka,peale,Hoiupanga,.,”,Taal,märgib,","
142,,ORG,oleks,sotsfondi,400,miljonit,krooni,Hoiupangast,välja,viidud,.,Pangaringkondades,arvatakse
143,,ORG,aga,neist,mõhkugi,mõista,.,EE,püüab,oma,uues,artiklisarjas,nii
144,,ORG,iseseisva,elu,kasuks,?,Juba,Estonia,katastroofi,ajal,kirjutati,",",et
145,,ORG,selle,mõtte,peale,tulnud,.,EE,küsimus,on,aga,aegunud,","
146,PER,LOC,viieaastase,Kaarli,ja,kolmeaastase,Anna-Mariaga,Pärnu,rannarajoonis,kahetoalises,korteris,",",mis
147,,PER,mina,",",pool,tema,.,Tiidu,raamatud,on,minu,redigeeritud,.
148,,LOC,et,Tiit,läheb,kinni,.,Vene,ajal,me,olime,harjunud,","
149,,ORG,",",siiamaani,ootan,vastust,.,EE,kirjutas,hiljuti,",",et,kantpea
150,,LOC,toimub,TPÜ,ruumides,2.,rahvusvaheline,Balti,psühholoogide,konverents,",",kus,osalevad
151,,LOC,ta,pidi,kitši,-,nii,nõukogude,kui,ameerika,oma,-,paljastama
152,,LOC,Liksomi,romaan,on,sisult,samuti,nõukogude-,ja,ameerikavastane,(,missugune,vanaaegne
153,,ORG,Neuron,Phase,:,DJ's,Kalev,K,",",Mander,",",Anti,Illusioon
154,PER,LOC,Dino,Club,Uno,",",Club,Hollywood,",",Tallinn,DJ,Ahto,Kruusmann
155,PER,LOC,Havi,Party,Zone,",",Club,Hollywood,",",Tallinn,DJ,Allan,Roosileht
156,,LOC,",",et,ka,temal,on,nõukogude,aegadest,taak,kanda,-,kommunistlikust
157,,ORG,võlgu,.,Nüüd,on,riik,maksuameti,abiga,Tartu,Piima,pankrotti,ajanud
158,,ORG,tasuvaks,teha,",",tõttavadki,konkurendid,maksuameti,abiga,toiduaineteturgu,ja,Tartu,Piima
159,,ORG,meie,silmaringist,välja,jääda,.,EE,juhtkiri,üllatas,oma,karjapoisiliku,vennaviha
160,,ORG,selgem,.,Olgu,päälegi,.,EE,meeldib,mulle,",",on,algusest
161,ORG,LOC,jääb,Vene,koosseisu,nagu,Dnestri-äärne,Moldova,.,Kogan,ennustas,eestlastele,","
162,ORG,LOC,nimekirjas,kandideerida,kohalike,omavalitsuste,valimistel,Tallinna,volikogusse,.,Ta,usub,ikka
163,,ORG,”,oodata,ei,ole,.,EE,ei,ole,aga,üllatunud,","
164,,ORG,kinnipeetud,nn,salakütuse,asjas,.,EE,ennustab,",",et,salakütuse,tegelikud
165,,ORG,muudetud,ka,endised,tingimused,.,Pakterminaliga,käivad,läbirääkimised,lepingu,muutmiseks,.
166,,ORG,valima,20.,septembril,Tallinnasse,“,Estonia,”,kontserdisaali,.,Kõrvuti,101
167,,ORG,101,parteistunud,riigikogujaga,hakkavad,“,Estonias,”,Eestile,riigipead,valima,ka
168,ORG,PER,",",kes,üritasid,juba,Riigikogus,Meri,ja,Rüütli,kõrvale,kolmandat,kandidaati
169,,ORG,Keskerakonda,kuuluvad,valijamehed,juhinduvad,“,Estonia,”,kontserdisaalis,siiski,eeskätt,Savisaare
170,,LOC,ka,sulasele,.,Tiit,Mae,nõukogude,haridusega,agronoome,ei,usalda,.
171,,ORG,Maja,remontimiseks,sõlmis,ta,kohaliku,maksuametiga,lepingu,",",mis,võimaldab,kontoriosa
172,,LOC,”,.,“,Kaabermaa,tuli,Barcelona,olümpial,neljandale,kohale,.,Selle
173,,LOC,pankrotistumist,.,Temast,sai,keskpanga,nõukogu,liige,ja,rahandusminister,.,Praegu
174,,LOC,ei,oleks,saanud,Eesti,Panga,nõukogu,liiget,ega,rahandusministrit,",",kui
175,,LOC,Ta,oli,toona,Eesti,Panga,nõukogu,liige,ja,peaminister,Laari,tagatoa
176,ORG,LOC,vallandati,.,“,Näiteks,LEPi,Valga,filiaali,ei,jõudnud,ma,vist
177,,LOC,.,Näiteks,panga,juhatuse,ja,nõukogu,istungite,protokollid,.,Mõned,arvavad
178,ORG,LOC,midagi,selle,vastu,",",kui,Pärnu,volikogus,ka,mõjukad,inimesed,oleksid
179,,LOC,ootab,viie,aasta,pärast,ees,Londoni,linnaliiklust,?,a.,kuulsad,kahekorruselised
180,,PER,15aastasena,N,Liidu,noortekoondisse,jõudnud,Martini,esimene,treener,Andres,Sõber,kuus
181,,PER,”,kahetseb,Sõber,.,“,Martin,võtab,nii,head,kui,paha
182,,PER,halva,mõju,alla,.,”,Martinit,üksinda,kasvatanud,Hilja,Volter,ütleb
183,,ORG,aru,saama,-,ma,murran,NBAsse,.,”,Martini,enesekindlad,väljahõiked
184,,PER,ma,murran,NBAsse,.,”,Martini,enesekindlad,väljahõiked,kriipisid,tema,ema
185,ORG,LOC,selle,häbiväärse,numbriga,on,Eesti,Tai,järel,laste,prostitutsiooni,levikult,teisel
186,,ORG,Nr,37,/,96,),EE,pildilt,vaatab,vastu,noor,mees
187,PER,LOC,aastad,oma,elust,veetis,Ain,Saku,lähedal,asuvas,talus,),oli
188,,LOC,Teda,hakkab,asendama,monopolide,reguleerimise,nõukogu,.,Kohad,",",kus,pole
189,,LOC,andmise,kergemaks,.,IMFile,lubati,nõukogu,Hinnakomisjoni,pole,ametlikult,laiali,saadetud
190,,LOC,hindade,reguleerimiseks,moodustatakse,monopolide,reguleerimise,nõukogu,",",millesse,inter,alia,(
191,,LOC,peab,vist,asendama,monopolide,reguleerimise,nõukoguga,seonduv,.,Sestap,on,mõistetav
192,,LOC,kinnitati,Ernesto,Preatoni,Eesti,Ühispanga,nõukogusse,-,pärast,seda,",",kui
193,,ORG,Lipstokile,ja,Tabasalu,vallavalitsusele,.,EE,:,Millega,teie,firma,tagab
194,,ORG,Nii,läheb,ka,Eestis,.,EE,:,Tallinnas,leidub,tühje,kontoriruume
195,,ORG,on,odavam,ja,meeldivam,.,EE,:,Kas,on,ikka,odavam
196,,ORG,asub,hulk,moodsaid,firmasid,.,EE,:,Aga,hind,?,Mis
197,,ORG,ka,ise,kasu,lõigata,.,EE,:,Kui,need,firmad,nii
198,,ORG,lagastatud,.,Peterburi,Eesti,Kultuuriseltsi,Estonia,esimees,Jaan,Maldre,jutustab,","
199,,LOC,Silm,(,29,),tõi,Atlanta,paraolümpialt,koju,pronksmedali,viievõistluses,.
200,,LOC,kuhjast,Euroopa,meistrivõistluste,kuldmedali,.,Atlanta,viievõistluse,pronks,on,suurem,ja
201,,LOC,ka,Helena,enda,jaoks,.,Atlanta,oli,Helenale,teine,olümpia,","
202,,ORG,et,pärast,Rumeeniat,jõuab,“,Dallas,”,nüüd,ka,Kanal,2
203,,PER,),sellest,üleviimisest,loobujatega,(,Vähi,),",",loobunutega,(,reformistid
204,,PER,selgelt,välja,see,",",et,Vähi,valitsus,päästis,1992.,aastal,Eesti
205,,LOC,Vilja,",",et,väljendit,“,Eesti,Watergate,”,polevat,antud,skandaalis
206,,PER,illegaalse,immigrandi,),;,lõpuks,Clintonite,rahainvesteeringu-lugu,nimega,Whitewater-gate,.,Nii
207,,ORG,muudab,rahva,saatuse,kitšiks,?,EE,6.,september,),pole,põhjendatud
208,,LOC,”,",",Sergei,Ursuljaki,“,Vene,ragtime,”,",",Sergei,Dvortsevoi
209,,LOC,ettevalmistusi,uue,filmi,",",“,Siberi,habemeajaja,”,võteteks,ning,see
210,,LOC,”,ning,Konstantin,Lopušanski,“,Vene,sümfoonia,”,käisid,läbi,väga
211,,PER,ja,rahu,”,",",“,Andrei,Rubljov,”,jt,),","
212,,ORG,Tallinn,kl,2100,DJ's,Kalev,K,",",Mander,",",Anti,Saturday
213,PER,LOC,Tuisk,Club,Uno,",",Club,Hollywood,",",Tallinn,DJ,Vardo,Rohtmets
214,PER,LOC,Raudsepp,",",Aivar,Havi,Club,Hollywood,",",Tallinn,Kalle,&,Astra
215,,ORG,Vanha,",",Helsinki,175,FM,K,",",25.,september,Linda,Perry
216,,ORG,Blondes,/,Gino,",",Stockholm,K,",",1.,oktoobr,Dog,Eat
217,PER,ORG,omanik,malbe,paipoisinaeratusega,.,“,ESSist,on,saanud,toimiv,süsteem,","
218,PER,LOC,aasta,olümpiamängude,ajal,patrullis,Urmas,Riiast,renditud,helikopteriga,Tallinna,teid,.
219,LOC,ORG,Urmase,valvetööle,ÜN,Presiidiumi,.,Kadriorus,postil,seistes,tegi,ta,seda
220,,PER,:,valitsus,ei,lagune,ja,Vähi,ei,tagane,enne,",",kui
221,,LOC,pidi,ringi,.,Ise,elan,Nõmmel,",",millest,kuulu,järgi,tahetakse
222,,ORG,mis,on,vändatud,vahetult,pärast,Estonia,katastroofi,",",tekitab,uusi,lootusi
223,,ORG,1996.,aasta,suvel,valmis,Spiegel,TV,dokumentaalfilm,Estonia,laevahukust,.,Sinna
224,,ORG,suvel,valmis,Spiegel,TV,dokumentaalfilm,Estonia,laevahukust,.,Sinna,monteeriti,ka
225,,ORG,Sirje,Piht,EEle,.,Legend,Estonia,teise,kapteni,Avo,Pihti,kadumisest
226,,ORG,100kroonise,nimiväärtusega,aktsia,eest,"0,37",Hoiupanga,10kroonise,nominaaliga,aktsiat,.,See
227,,ORG,kolm,Tööstuspanga,aktsiat,vahetati,ühe,Hoiupanga,aktsia,vastu,.,Nimiväärtusi,vaadates
228,,ORG,siis,veel,teeb,?,Arvestades,Hoiupanga,aktsia,turuväärtuseks,umbes,35,krooni
229,,ORG,präänikuga,.,Präänikuks,olid,needsamad,Hoiupanga,aktsiad,",",mida,Eesti,Pank
230,,ORG,Eesti,Pank,talle,kuulunud,950 000,Hoiupanga,aktsiat,nominaalhinnaga,Tööstuspanga,omanikele,.
231,,ORG,pank,kaotamas,oma,arengupotentsiaali,.,Hoiupanga,ja,Tööstuspanga,liitumise,toetamiseks,valitud
232,,ORG,.,Kuidas,lappida,auke,?,EE,pakub,välja,kolm,lihtsat,retsepti
233,,ORG,Merca,võtab,uue,suitsu,.,Vanemuine,pakkunud,Mercale,tuba,.,Merca
234,,ORG,.,”,Merca,:,“,K,a,l,l,i,s
235,ORG,LOC,Romeo,Metsallik,",",Tartu,Muinsuskaitse,Nõukogu,juhataja,See,maja,oli,Supilinna
236,ORG,LOC,”,on,lause-lauselt,kokku,pandud,Tallinna,volikogu,revisjonikomisjoni,aktidest,ja,õienditest
237,,LOC,juhtudel,nõustunud,.,Eriti,“,Viru,”,-,aluse,maa,ostueesõigusega
238,,LOC,oma,avaldusega,USAle,täiendavaid,kohustusi,Balti,riikide,NATOsse,aitamiseks,.,Tema
239,,LOC,kaitsta,?,“,Mis,puutub,Balti,riikide,kaitstavusse,",",siis,kaitstavuse
240,,ORG,jälle,lavale,?,a.,“,Kremli,kellad,”,b,.,“
241,,LOC,mis,nõuab,hüvitust,nende,vanematel,nõukogude,defitsiidiühiskonnas,saamata,jäänud,naudingute,eest
242,,LOC,.,Nädalate,kaupa,on,kõneldud-kirjutatud,Atlanta,olümpiamängudest,.,Tumedanahaline,neiu,","
243,,ORG,muusika,eest,),kl,18.30,K,09.10,kl,21,toimub,filmi
244,,ORG,",",tegijal,juhtub,midagi,...,ee,...,tähendab,",",nii,mõndagi
245,,LOC,umbusaldamisest,.,“,Ainult,arstiteaduskonna,nõukogu,on,pädev,oma,otsust,tühistama
246,ORG,LOC,ministeerium,üritanud,Sirje,Endre,juhitava,Haabersti,halduskoguga,sõlmida,alates,novembrist,1995
247,PER,LOC,Marlboro,suitse,maale,toova,Bankend,Eesti,järel,tubakaturu,suurimad,müüjad,","
248,,ORG,sideärimehe,Tõnis,Paltsi,kurjad,sõnad,EE,veergudelt,tulid,mulle,pähe,","
249,PER,LOC,siis,küsis,teine,PR-mees,Olavi,Paide,eriti,irooniliselt,",",et,ehk
250,,PER,oratoorium,ootab,plaadistamist,?,a.,Meelis,b,.,Hiiob,c,.
251,,PER,?,a.,Meelis,b,.,Hiiob,c,.,Kindral,Põdder,d
252,PER,LOC,",",Vaba,Maailm,",",Vaba,Euroopa,",",vabastamine,",",vabastajad,","
253,,LOC,seni,Raunalt,ilmunud,romaanid,kujutavad,nõukogude,olustikku,",",sellest,väljapoole,ulatuvad
254,,ORG,öö,”,koosneb,minajutustaja,Valteri,ees-,ja,järelsõnaga,varustatud,päevikust,ning
255,,LOC,teost,.,Romaani,miljöö,piirdub,nõukogude,abituuriumi,ja,varaste,tudengiaastatega,","
256,,LOC,ühtemoodi,mängu,ja,ikka,samas,nõukogude,liivakastis,.,Lugeda,on,ju
257,,LOC,-,soovin,jõudu,ja,edu,nõukogude,noorsoo,keeruka,saatuse,edaspidisel,viljakal
258,,PER,Kallase,idapoliitikat,kibedalt,sarjas,.,Vähi,on,oravate,selja,taga,hoopis
